gqid,modis_lst_mod11c3_061_night_annual_mean.2000.mean,modis_lst_mod11c3_061_night_annual_mean.2001.mean,modis_lst_mod11c3_061_night_annual_mean.2002.mean,modis_lst_mod11c3_061_night_annual_mean.2003.mean,modis_lst_mod11c3_061_night_annual_mean.2004.mean,modis_lst_mod11c3_061_night_annual_mean.2005.mean,modis_lst_mod11c3_061_night_annual_mean.2006.mean,modis_lst_mod11c3_061_night_annual_mean.2007.mean,modis_lst_mod11c3_061_night_annual_mean.2008.mean,modis_lst_mod11c3_061_night_annual_mean.2009.mean,modis_lst_mod11c3_061_night_annual_mean.2010.mean,modis_lst_mod11c3_061_night_annual_mean.2011.mean,modis_lst_mod11c3_061_night_annual_mean.2012.mean,modis_lst_mod11c3_061_night_annual_mean.2013.mean,modis_lst_mod11c3_061_night_annual_mean.2014.mean,modis_lst_mod11c3_061_night_annual_mean.2015.mean,modis_lst_mod11c3_061_night_annual_mean.2016.mean,modis_lst_mod11c3_061_night_annual_mean.2017.mean,modis_lst_mod11c3_061_night_annual_mean.2018.mean,modis_lst_mod11c3_061_night_annual_mean.2019.mean,modis_lst_mod11c3_061_night_annual_mean.2020.mean,modis_lst_mod11c3_061_night_annual_mean.2021.mean,modis_lst_mod11c3_061_night_annual_mean.2022.mean,modis_lst_mod11c3_061_night_annual_mean.2023.mean
87,294.2706727,295.1949156,295.2097184,295.4966774,295.1289321,295.342823,295.4069441,295.0906625,294.8315491,295.0488704,295.4006028,295.1301766,295.2163324,295.2143896,295.5900556,295.6923475,295.4128299,295.2639897,294.8475626,295.7187761,295.6426257,295.4023702,295.48331,296.4338347
88,294.7342075,295.130677,295.8068309,295.681208,294.7521425,294.9039545,295.0214329,295.1974814,294.9537597,294.9188033,294.8802081,294.9078101,295.3581934,295.6922115,296.125472,296.3101375,296.0298893,295.438399,295.7139838,296.2235635,296.3715007,296.2261774,296.2521197,296.7694911
89,291.1472783,291.4210406,292.0540189,291.7615173,291.6478124,291.6650957,291.6627229,291.5522607,291.2561682,291.6856057,291.8623426,291.5126969,291.7235958,291.8652358,291.987416,292.2831596,292.0241312,291.7012163,291.7422443,291.9876725,292.3689889,292.1164143,292.0723562,292.4997242
90,293.3402091,293.8619899,294.0908092,293.7396338,293.5771147,293.871389,293.8208683,293.9274815,293.8043649,293.7865794,293.9756574,293.8937964,294.0223169,293.8773191,294.1123794,294.5230595,294.5601238,294.3548541,294.0824012,294.2456228,294.0756794,293.9292086,293.7064977,294.7658657
91,292.7921912,293.2910103,293.4617296,293.6298117,293.1687573,293.2933818,293.5508211,293.5892795,293.2395152,293.094264,293.4902826,293.0298242,293.2542366,293.3605007,293.5573591,293.9209526,294.0206685,293.6063701,293.1902381,293.8880801,294.158776,293.541836,293.6134588,294.5592929
92,293.0887001,293.5973869,294.2191017,293.9163858,293.132994,293.1832872,293.6092048,293.44384,293.4287415,293.4195054,293.2901401,293.3222737,293.5646124,293.8914343,294.3923634,294.6471444,294.1326634,293.9441539,293.9875226,294.603332,294.5829914,294.3766711,294.1242936,294.7190091
93,290.8372307,291.3242343,291.7909699,291.7132966,291.2237429,291.4688845,291.490278,291.3626127,291.336011,291.1942988,291.0996823,291.0895108,291.4065295,291.9839847,292.1646591,292.4129337,291.8916816,291.6979064,291.6616189,292.2334981,292.169009,292.0101645,292.1040456,292.3741905
94,291.895876,292.5123716,292.7248143,292.9590417,292.3332093,292.8698682,292.8908578,292.8455778,292.1975922,292.4920301,292.6567954,292.2004453,292.6262357,292.6445763,292.7753744,293.2404807,293.2756619,292.7001033,292.3575564,293.157997,293.1394753,292.873875,292.8709821,293.7567421
95,293.8141172,294.4592821,295.1040116,294.6268764,294.0224866,293.9735026,294.5297766,294.0353121,294.3317611,294.4006162,293.9918494,294.1824927,294.3642181,294.7821541,295.3060284,295.6330037,294.9021546,294.7195144,294.8578925,295.5709432,295.2180756,295.545696,295.3262459,295.7403787
96,292.8798446,293.6653447,293.8292445,293.7270999,293.2094787,293.4644738,293.3336754,293.5013653,292.9264078,293.0240283,293.6260971,292.8755325,293.3680714,293.429841,293.5145136,293.992582,294.0512504,293.5513784,293.4329224,293.6226147,293.9043562,293.955721,293.6271691,294.3053537
97,292.7209693,293.2622632,293.5084222,293.6232669,293.2222066,293.5680231,293.4309508,293.9048206,293.1719396,293.202274,293.2289084,293.1034791,293.4219463,293.3857732,293.4830882,293.8899466,294.0772762,293.8008084,293.0062699,293.9930259,293.978895,293.7336138,293.5691121,294.2158299
98,293.2804691,293.8259742,294.4663527,294.0245722,293.3296725,293.4710465,293.9329472,293.5562438,293.7380281,293.623325,293.5181162,293.6237486,293.7661307,294.1547184,294.5764605,294.9089856,294.455028,294.2339112,294.2245332,294.8593804,294.73076,294.7421002,294.4818664,295.0352007
99,293.1140392,293.7580369,294.0561547,294.0734536,293.3770684,293.9011986,293.7084883,293.9087198,293.6900436,293.5656638,293.8153686,293.712404,293.6869039,294.0270983,294.6063271,295.0323602,294.7651705,294.3975519,294.2019007,294.8390634,294.8469284,294.2468186,294.2153739,295.1632013
100,292.9679437,293.4069704,293.5981129,293.4533621,293.4736449,293.5010012,293.5069268,293.5200946,293.2029384,293.2642671,293.7236622,293.5341617,293.5027009,293.6146298,293.6630349,294.1094432,293.9980096,294.0209521,293.6041381,293.7937019,294.1943512,294.0104978,293.9928458,294.5235315
101,289.5688602,290.2037312,290.477673,290.3416331,289.6911759,290.2697637,290.3358975,290.1313134,289.6590695,290.0665999,290.0485307,289.5998043,289.8700742,289.9284745,290.2637269,290.5159243,290.1971349,289.9041437,289.6994187,290.4309785,290.430192,289.785544,289.6221822,290.9547094
102,294.1956572,294.7976595,295.3467238,295.1517891,294.3044923,294.7328194,294.6557887,294.9408823,294.428404,294.5154613,294.4591987,294.5471508,294.9024165,295.1235012,295.5717188,295.8842922,295.5248375,295.1243717,295.4105056,295.6550454,295.7634461,295.9971205,295.8088477,296.2927234
103,291.7817567,292.4118343,292.7673424,292.2863134,291.5927291,292.25326,292.4482798,292.293534,291.9183945,292.1886246,291.9633221,291.4834126,292.0033431,292.1445806,292.1873097,292.6792383,292.2793982,292.2652772,291.9179641,292.7716422,292.6418669,292.0054414,291.994153,293.1269976
104,289.3631553,289.7151366,290.0592332,290.0107735,289.764513,289.8975422,289.8938156,289.8182488,289.5461008,289.9180346,290.1775793,289.7804055,289.9335087,289.9692034,290.1595677,290.3347401,290.3701877,289.94018,289.7176013,290.1252154,290.4080708,290.0218985,290.0551886,290.6594198
105,287.9172743,288.4011311,288.5383478,288.6364076,288.135581,288.5670699,288.5224521,288.4151467,288.1863709,288.4438359,288.8134136,288.2604268,288.4312857,288.4859593,288.731575,288.8258455,289.0858366,288.5308841,288.2432717,288.7809999,288.8527048,288.4603035,288.3781958,289.3083641
106,289.9037533,290.4767372,290.8944514,290.5405093,290.432189,290.9288031,290.3588333,290.0508268,290.262727,290.5175578,290.6744537,289.8748926,290.2956882,290.6662424,290.0284153,290.6892779,290.7439887,290.6696225,289.9342248,290.1706487,290.7088901,290.4298333,290.5032241,291.1124787
107,291.6652302,292.2068385,292.8101772,292.6269102,292.0207998,292.1480648,292.2519422,292.0985312,292.1710959,292.0529023,292.0214491,291.9657266,292.2646756,292.8724805,293.140866,293.4881171,292.7087464,292.5365414,292.4497122,293.2611535,293.0737495,293.3294522,293.2110221,293.4051356
108,292.4806152,293.0345748,293.6326077,293.251989,292.5245881,292.608819,293.0445942,293.0019897,292.7578727,292.8888064,292.7940789,292.6491177,292.9146607,293.3023917,293.7621838,293.9071969,293.451846,293.3327854,293.3094626,293.919137,293.9556733,293.5628015,293.4418621,294.0611302
109,289.5081029,289.9397113,290.1278148,290.1332066,289.8097269,290.0817358,290.0052673,289.6318157,289.6168777,289.7450547,290.1270653,289.5274443,289.8441177,289.9325029,290.0694306,290.4716757,290.41802,290.2438452,289.8347999,290.2184928,290.4520181,290.0909855,290.1333682,290.591321
110,293.8376526,294.4589026,294.9040133,294.7750373,293.7877608,294.0159166,294.3710695,294.2308993,294.0864265,293.9799275,294.2183775,294.135224,294.2395473,294.7480527,295.1902559,295.3810427,295.0251477,294.6067082,294.6218804,295.403735,295.5272678,295.196295,295.3309408,295.9785425
111,292.6023005,293.1302562,293.5091403,293.1509283,292.3903939,293.1067467,293.2930295,293.3739847,293.0103159,293.0905072,292.8356051,292.5881829,293.0436227,293.2788166,293.3013573,293.7641703,293.3415217,293.561896,292.8968811,293.9368033,293.7837173,293.0631651,293.1040579,294.2146348
112,293.9723943,294.1778494,294.2739616,294.226744,293.9729783,294.3115368,294.16173,294.3947155,293.9264706,294.154947,294.741367,294.4685167,294.3169008,294.3697604,294.3129333,294.7207302,294.8009352,294.2226547,294.0971076,294.2833114,294.8937549,294.7060167,294.710992,295.1999981
113,292.0691381,292.6727707,293.0182013,292.7815368,292.0842197,292.3540997,292.8240345,292.7336771,292.4615768,292.4911628,292.5527975,292.4499973,292.5604006,292.9639599,293.2940442,293.5023981,293.2885836,292.9625433,292.9786676,293.5629362,293.5827485,293.1330641,293.0349258,293.7288986
114,292.4513819,292.8437031,293.176036,293.0533935,292.7527685,293.0867301,293.0093173,293.122608,292.849463,292.9302036,293.2142843,293.0813852,293.176845,293.1059877,293.454097,293.7321664,293.8992697,293.5575529,293.3208951,293.5345599,293.5346266,293.228226,293.1255997,294.0790447
115,290.0926495,290.7792598,291.1029724,290.5546316,289.8452808,290.2748883,290.5924679,290.4399884,290.3341829,290.4785162,290.1996762,289.9545481,290.1474015,290.358411,290.591123,290.9437759,290.3820075,290.444203,290.3634789,291.2217322,291.0935133,290.6078944,290.40953,291.3881675
116,291.738655,292.464895,292.5761698,292.4742233,291.8710277,292.3130255,292.53822,292.3449801,292.159937,292.2241285,292.2535701,292.0044988,292.2742362,292.483749,292.7298187,292.8790671,292.7618327,292.6902092,292.1130467,292.8948907,293.0064253,292.3170029,292.4988039,293.2270448
117,290.6977701,291.0912881,291.6885424,291.5605652,291.1048665,291.333066,291.3490416,291.2377584,291.0879107,291.1600306,291.1262106,291.0858571,291.309681,291.6051993,291.9046932,292.0584932,291.7811469,291.7314183,291.3421316,291.9219111,291.9907273,291.7747721,291.8254143,292.4128809
118,294.1182599,294.4955841,294.5082342,294.5903582,294.4282529,294.4966773,294.380596,294.6216033,294.2355242,294.37972,294.7551044,294.506845,294.5253452,294.6077333,294.5283702,295.1300173,294.8272606,294.4186133,294.4423629,294.6364032,295.1610825,294.6946133,294.9997251,295.4736717
119,292.6385588,293.3072412,293.5136587,293.2596496,292.4485331,293.3143322,293.2063489,293.2030218,293.1375148,292.9466825,292.8231299,292.5806224,293.110757,293.2407385,293.5015431,293.9116852,293.4029936,293.5054005,292.8810415,293.7861171,293.6067516,292.9427741,292.9521508,294.1244038
120,292.9842138,293.4706567,293.3131051,293.4738132,293.2250088,293.5543622,293.4777383,293.573992,292.8900573,292.9377032,293.5112693,293.0578795,293.3328498,293.3973072,293.5065132,293.9810289,294.1995406,293.7666847,293.3606542,293.5486962,293.9464768,293.8192913,293.6956495,294.563435
121,293.1227112,293.5703035,293.8040305,294.0463315,293.2719911,293.396933,293.8062027,293.8295294,293.464318,293.4740797,293.5754297,293.2974228,293.5629024,293.7480767,293.9559375,294.3733463,294.351104,293.8525442,293.4876328,294.2652022,294.4282218,293.8709169,294.0404941,294.7885887
122,286.3606618,286.7268337,287.2491728,287.1948123,286.7934147,287.1989136,287.0881244,286.7726614,286.8374826,287.0135321,287.3413924,286.9636039,287.2261998,287.1659611,287.408693,287.3935576,287.8182463,287.4895098,287.1198243,287.6628121,287.8778597,287.3843108,287.4066158,287.9353851
123,293.5863666,294.2072048,294.260086,294.5174875,293.9533073,294.2874178,294.2703061,294.5503881,294.0266016,294.1348972,294.2770085,293.7808631,294.2171259,294.3247386,294.4303712,294.6853879,294.5651537,294.2946699,294.099384,294.3849448,294.6914135,294.4644617,294.5175632,295.3807155
124,293.6906176,294.2186098,294.8311738,294.4791262,293.6783563,293.7709871,294.170698,293.923722,294.067619,293.9471335,293.9158761,293.9923918,294.0862206,294.5686047,294.9775429,295.1971265,294.8508143,294.5156519,294.585755,295.2554918,295.1770176,295.1150701,294.9404539,295.6702975
125,292.4367113,292.9733832,293.1936275,293.2102334,292.51447,292.9659375,293.1219169,293.083876,292.633452,293.0136906,293.0531922,292.6108403,293.0864053,293.0279025,293.2589661,293.5378983,293.2191713,292.9943639,292.9054194,293.5316775,293.6018124,293.0278512,293.2960402,293.8153611
126,290.6691165,291.1104712,291.8838888,291.8231787,291.2150017,291.739826,291.5088836,291.1994537,291.118389,291.3049812,291.4219444,291.0822469,291.2389678,291.4998861,291.7182113,292.0660072,292.088556,291.6721516,291.3610632,291.7425,291.9128663,291.6617564,291.7402941,292.3990533
127,293.1170243,293.6460027,294.1084084,294.160307,293.7671193,293.9871395,293.9135266,294.1143997,293.683129,293.6273375,293.6926645,293.5982344,293.586659,293.9644463,294.0344201,294.3569293,294.1860614,293.7710158,293.7226802,294.5257646,294.4635455,294.0855334,293.9816979,294.6741461
128,292.0838514,292.58743,293.285142,293.2124762,292.6400817,292.7668343,292.8686723,292.8853795,292.7533235,292.7674544,292.4398646,292.5503286,292.916649,293.2555457,293.5769117,293.862387,293.3750721,293.1988936,293.0128098,293.7023125,293.581437,293.6142516,293.4376118,294.1008995
129,292.8592665,293.4218701,293.5441727,294.0207338,293.4813737,293.5809776,293.7604136,293.6418471,293.1939546,293.3781443,293.4760996,293.2919109,293.4887159,293.5105447,293.6276977,293.9097179,293.9968545,293.573269,293.3185195,294.1409547,294.2537017,293.7890526,293.6237837,294.6153727
130,293.313821,293.8121061,294.5678388,294.3592272,293.7746826,293.7816824,293.7981573,293.9122506,293.8682538,293.624495,293.4260835,293.5502395,294.0392162,294.4688691,294.7460115,295.2748888,294.6422821,294.1500049,294.1576111,295.0188842,294.8298638,295.0815432,294.8748421,295.3272446
131,289.4532204,289.8724278,290.4863248,290.3565879,289.9920674,290.3130129,290.2848732,290.0926564,289.994964,290.0356685,290.3147025,290.0177366,290.1779524,290.4829469,290.6878669,290.9105022,290.7980166,290.5977943,290.294564,290.6782747,290.970298,290.6650178,290.654906,291.1835741
132,290.4360302,290.8232285,290.8444138,291.0210857,290.8382616,291.0807978,290.8763726,290.7724281,290.5592836,290.828566,291.0482819,290.9483092,291.0882398,291.0923076,291.1987701,291.649434,291.5104092,291.3246157,291.059984,291.3031012,291.6790393,291.4172404,291.3699682,291.7648792
133,293.9558435,294.4470695,294.8957094,294.7976302,294.2530453,294.557294,294.4077875,294.57961,294.2096184,294.5148225,294.4974349,294.0492444,294.370954,294.7315718,295.0151268,295.3275529,294.8593552,294.6295534,294.742714,294.9225766,295.1641768,295.1410831,295.0605122,295.6997966
134,293.1575318,293.8973124,293.9249902,293.8040371,293.4512317,293.8227848,293.8145193,294.1300145,293.5709568,293.408433,293.4975847,293.5967718,293.523272,293.640058,293.8194252,294.426077,294.4384768,294.0013235,293.7244746,294.3469185,294.1683021,293.8208341,293.6620351,294.5908149
135,293.4395213,293.9201348,293.9664692,294.1997231,294.0195968,294.3764252,294.3196554,294.2808522,293.7625658,293.9311666,294.6414192,294.2682861,294.1498717,294.1950109,294.3487384,294.6684573,294.3824313,294.1162851,293.7306659,294.3253834,294.7150358,294.4839898,294.2439831,295.2507871
136,294.6270998,294.847095,294.9312403,294.9094164,294.8084217,294.9455229,294.7949896,295.1022676,294.6143219,294.8236575,295.371358,295.1997437,294.9473307,295.0309062,295.0303969,295.6686733,295.5228122,294.981349,294.8550427,295.0875628,295.719079,295.6909832,295.4869482,295.806128
137,289.8805721,290.3276978,290.4689539,290.4240041,290.2999063,290.3975829,290.4745613,290.4382522,290.2090236,290.3065198,290.5928262,290.3481497,290.5205229,290.5496106,290.6747026,290.8425009,290.8570517,290.7811242,290.6030691,290.7966636,290.9600004,290.7992087,290.6732077,291.054106
138,292.3490851,292.817914,293.1575424,293.3441158,292.7584426,293.2267525,293.0231902,293.141352,293.0195952,292.9991761,293.1904621,293.1978,293.2266715,293.327723,293.7351294,293.9898852,294.1483722,293.6388525,293.3897289,293.8563055,294.0302973,293.5655482,293.5673475,294.4056349
139,291.8306907,292.0860729,293.0862088,292.8405559,292.2859315,292.8449026,292.5497705,292.1947226,292.2375921,292.2846838,292.4343457,292.3085674,292.4995038,292.6006411,292.8817836,293.2873393,293.2046662,292.8498186,292.4153693,292.8511846,293.031349,293.0744551,292.9639099,293.6856636
140,291.9086018,292.5464203,292.6797357,292.8267757,292.0040214,292.6560967,292.6192719,292.777582,292.1607834,292.472605,292.4136416,292.0293322,292.5550619,292.5712091,292.881627,293.1799077,292.9025111,292.55626,292.4588414,293.1449783,293.1386577,292.695495,292.8703777,293.4434073
141,292.3285376,292.841289,293.1699209,293.5956316,293.1067308,293.73732,293.2924012,293.3235101,293.1228239,293.2139745,293.6239858,293.3776625,293.4338865,293.4711411,293.7302759,293.9275796,294.1059362,293.6123233,293.4614302,293.8733437,294.1140966,293.7976708,293.7046158,294.6313775
142,293.3702437,293.8480679,293.7394657,293.9861825,293.5934516,294.1374277,294.0212383,294.0286076,293.665404,293.8867823,294.2653894,293.8900056,293.8674262,293.9527499,293.9407118,294.3673687,294.2909847,293.8504461,293.6659631,293.9910289,294.5167562,294.1495369,294.1257278,294.8567691
143,292.2418401,292.6259944,293.2658579,293.1707953,292.6573344,292.7107594,292.8497437,292.6857453,292.7022684,292.5361508,292.2107388,292.3070023,292.8542824,293.3264145,293.641632,293.942694,293.339628,292.9732873,293.0227444,293.7900462,293.4822901,293.5790353,293.4676157,293.9132614
144,292.0226723,292.2735356,292.294315,292.4766768,292.2483223,292.7741666,292.687911,292.7242774,292.391453,292.5966431,293.0230334,292.5892052,292.5284126,292.6483843,292.6548789,292.7993241,292.943054,292.5353975,292.2767398,292.4960069,293.0970909,292.750678,292.4612341,293.2969652
145,291.8949078,292.0128291,291.8778781,292.1605493,291.7874075,292.1460756,291.8399292,291.8375681,291.9405572,291.9320124,292.1493991,292.1561937,292.3428008,291.9383459,292.2226847,292.7219721,293.0527446,292.6497862,292.2514492,292.4509062,292.7640692,292.4862187,292.3749347,292.8090148
146,292.5359191,293.047681,293.4157266,293.6049756,292.9412299,293.3219584,293.2544256,293.2877537,293.2815564,293.3189797,293.5168828,293.3319557,293.4516521,293.5309191,293.9808927,294.302015,294.1433069,293.9020377,293.6821185,293.9773755,294.1807094,293.7053044,293.7164652,294.7440275
147,294.6189537,295.4875949,295.4305887,295.531164,295.3854749,295.5141668,295.3820992,295.5512415,294.988041,295.2828005,295.3412398,295.3937032,295.3164386,295.6449007,295.6220586,295.9676427,295.7505331,295.7868688,295.4970525,295.5796815,295.6754838,295.5778088,295.9805983,296.5260431
148,293.2379299,293.6535362,293.7166286,293.843762,293.4230657,293.449787,293.7987163,293.8437443,293.331053,293.2415314,293.7158742,293.4099309,293.4206865,293.5440883,293.7835699,294.2951447,294.333679,293.9476176,293.6501973,294.109952,294.2888822,293.6134946,293.7627781,294.6130733
149,292.4652084,292.8156202,293.0002793,292.8235848,292.7950828,292.8149066,292.8455182,292.948347,292.5710181,292.6287179,292.9806305,292.896357,292.8483924,293.1258175,293.2047021,293.5749912,293.3034186,293.2476015,292.9566604,293.2815131,293.4479433,293.4825162,293.3101819,293.891847
150,292.591721,292.9574183,293.2091767,293.2437283,292.837726,293.3679183,293.2554608,293.2723934,292.893012,292.8572397,293.0825402,292.7849915,292.8743334,292.8900963,293.2137092,293.8729473,294.0157008,293.5377884,293.2508509,293.6930354,293.4728441,293.1962292,293.164804,293.9089642
151,291.9853635,292.5579515,292.6883343,292.6210292,292.4244298,292.6392194,292.7770287,292.7933844,292.5195457,292.5704282,292.8486517,292.3496139,292.6799496,292.7250132,292.8506049,293.1955143,293.0743847,292.8395648,292.656651,292.8653635,293.0177253,292.891041,292.7220647,293.1814619
152,292.6067213,293.2622991,293.7553784,293.2191291,292.6129558,292.7801628,293.175893,293.1077099,292.9159201,293.0079397,292.957371,292.7477867,293.0286803,293.3230731,293.9505512,294.0996665,293.4230895,293.3495115,293.4251165,294.0450032,293.9298571,293.6253215,293.4163427,294.3074344
153,291.7628178,292.5632598,292.9794383,292.2905619,291.6573114,291.7779099,292.1274864,292.1011212,291.9487281,292.2464582,291.8048108,291.5715549,291.7663876,292.0874937,292.2601999,292.877316,292.1473638,292.1355142,292.3618238,292.9941693,292.6563413,292.4943379,292.1709426,293.3593284
154,290.940728,291.5856721,291.9195648,291.7507048,291.4156982,291.5415867,291.6546413,291.5591676,291.3247841,291.5363496,291.6015916,291.3649005,291.6781922,291.8491775,292.0864429,292.2249252,292.0068448,291.7355631,291.7841134,291.999833,291.9694752,291.9258254,291.822397,292.2299379
155,296.2111287,296.6407694,296.7317136,296.4917683,296.6114894,296.7185782,297.2404628,297.1782675,296.9072733,296.7059749,297.1060373,296.5716094,296.917386,297.0466455,296.8666368,297.1645753,297.1996344,296.9406563,296.8269942,296.8678709,297.1462259,297.1906148,296.6205671,297.5306263
156,293.2651712,293.6943063,294.114008,294.1538807,293.6069557,293.9794201,293.8390337,294.1075928,293.8200027,293.9047105,294.1568674,293.8927583,294.0237127,294.1531751,294.410781,294.8027636,294.7451387,294.445474,294.3031989,294.5737576,294.550324,294.3213062,294.2506279,295.0841446
157,295.2910459,295.6501931,295.8024619,295.8015386,295.678259,295.9543154,295.8112408,296.1368536,295.8123314,295.8146029,295.9548674,296.0673686,295.9404456,295.8227066,295.7577434,296.3643497,296.6010044,296.0838733,296.0551793,296.1137503,296.0781572,296.1772055,296.0573075,296.6708738
158,295.2263342,295.7179494,296.0782665,296.0279547,295.4352362,295.6051171,295.9174973,296.0477101,295.9008028,295.8583148,296.1085122,295.7603959,295.7738801,296.0631286,296.3006637,296.6004147,296.5322699,296.187292,296.1219765,296.3776713,296.6025214,296.198184,296.5390152,296.9933574
159,292.579984,293.2736607,293.4794904,293.8994918,293.5147492,294.0667681,293.7003576,293.7605562,293.5056618,293.6388295,294.0021646,293.7219786,293.6957098,293.9004116,293.9813001,293.9429538,294.389726,293.9106707,293.5846857,294.2776501,294.4584346,294.167391,294.1143551,294.9581368
160,291.6391922,292.3799651,292.5336965,292.4434392,291.6997437,292.0713816,292.3486624,292.2140277,292.0817562,292.2297932,292.1199443,291.798192,292.1599766,292.4440445,292.6738611,292.8586458,292.6141189,292.4818025,292.0942507,292.888922,292.8508961,292.3607947,292.3937145,293.2568319
161,295.4424927,295.8116816,296.2770576,295.9190172,295.6862588,295.6243072,295.7349496,296.196077,295.5691138,296.040217,296.1701983,295.7354397,295.8184366,296.2401842,296.2215929,296.7271646,296.4594711,295.9522276,295.8815753,296.2650541,296.5289729,296.5115631,296.3887809,296.9084825
