gqid,modis_lst_mod11c3_006_night_annual_mean.2000.mean,modis_lst_mod11c3_006_night_annual_mean.2001.mean,modis_lst_mod11c3_006_night_annual_mean.2002.mean,modis_lst_mod11c3_006_night_annual_mean.2003.mean,modis_lst_mod11c3_006_night_annual_mean.2004.mean,modis_lst_mod11c3_006_night_annual_mean.2005.mean,modis_lst_mod11c3_006_night_annual_mean.2006.mean,modis_lst_mod11c3_006_night_annual_mean.2007.mean,modis_lst_mod11c3_006_night_annual_mean.2008.mean,modis_lst_mod11c3_006_night_annual_mean.2009.mean,modis_lst_mod11c3_006_night_annual_mean.2010.mean,modis_lst_mod11c3_006_night_annual_mean.2011.mean,modis_lst_mod11c3_006_night_annual_mean.2012.mean,modis_lst_mod11c3_006_night_annual_mean.2013.mean,modis_lst_mod11c3_006_night_annual_mean.2014.mean,modis_lst_mod11c3_006_night_annual_mean.2015.mean,modis_lst_mod11c3_006_night_annual_mean.2016.mean,modis_lst_mod11c3_006_night_annual_mean.2017.mean,modis_lst_mod11c3_006_night_annual_mean.2018.mean,modis_lst_mod11c3_006_night_annual_mean.2019.mean,modis_lst_mod11c3_006_night_annual_mean.2020.mean
138,292.3248334,292.7940316,293.1150794,293.3120038,292.6922469,293.1345511,292.9104188,293.0820091,292.8987834,292.8995152,293.0583458,293.1450321,293.1107676,293.2732388,293.7138184,293.9864392,293.5816526,293.0722609,292.5827057,293.1729317,293.358844
139,291.8080487,292.0628312,293.0769913,292.825728,292.2755053,292.8324676,292.5083669,292.1401861,292.1884894,292.26254,292.4083807,292.2932123,292.4877535,292.6043925,293.1157858,293.5386597,293.1821667,292.7492209,292.2034744,292.7778565,292.898852
140,291.8993899,292.5447429,292.6759468,292.7928097,291.9814124,292.6225911,292.6203922,292.7432732,292.1634761,292.4198976,292.3689372,291.9725745,292.5106959,292.5830001,292.934473,293.3168405,292.623818,292.3443861,291.9866699,292.7311884,292.643646
141,292.3189108,292.7862075,293.1339182,293.5608441,293.0493222,293.7003668,293.2001777,293.2750528,293.0239915,293.1082868,293.492529,293.2643327,293.3162883,293.4082042,293.7465745,293.9218677,293.6382104,293.1680986,292.7814475,293.1834092,293.4875355
142,293.3583789,293.8098029,293.7534333,293.9463795,293.5610099,294.1101145,293.9601587,293.9820792,293.585955,293.8144971,294.2272149,293.8044018,293.7699179,293.9284046,294.0714223,294.6650673,294.0117227,293.4782911,293.152784,293.5863724,293.9756452
143,292.2484627,292.6035288,293.2254868,293.1529394,292.6355735,292.672598,292.7996438,292.661032,292.6168557,292.4844269,292.1296798,292.2713251,292.8706787,293.3123244,293.7878059,294.0076062,293.1915385,292.6371382,292.6878603,293.5959207,293.2366302
144,292.0280234,292.2794189,292.2785903,292.427046,292.1991886,292.7327802,292.6173508,292.6741349,292.3258798,292.5749,292.9776297,292.479879,292.4420033,292.5868807,292.6985941,293.0097633,292.7225364,292.1356051,291.8298563,292.1588195,292.6378563
145,291.88799,292.0047001,291.8945708,292.1478276,291.7856054,292.1035582,291.8350842,291.8662832,291.8936386,291.8700731,292.1683894,292.1058802,292.2602338,291.8596568,292.3800439,292.8294887,293.0272247,292.5104034,292.1475837,292.1730753,292.3585926
146,292.5284752,293.0361778,293.3822617,293.5665965,292.8852339,293.2446203,293.1626064,293.2342985,293.1906097,293.2222022,293.3998862,293.2463963,293.3761816,293.4939127,293.9680838,294.2844157,293.5403866,293.3896047,292.9781448,293.2625588,293.4271758
147,294.5739448,295.4827504,295.3822845,295.5011629,295.3650017,295.4641736,295.3892664,295.5389127,294.9736021,295.2711013,295.333738,295.2981247,295.3085488,295.6508304,295.509603,296.2263238,295.4236452,295.4209933,294.853709,295.0913404,295.300146
148,293.2456115,293.6301635,293.6843746,293.8335853,293.3920256,293.4214728,293.7536436,293.7659514,293.2950926,293.2056144,293.7344891,293.3060751,293.3880063,293.558338,293.7517297,294.460335,293.8379197,293.5316143,293.0246615,293.6494321,293.7163227
149,292.4867263,292.8234332,293.0004699,292.7794661,292.7367127,292.7574969,292.796691,292.8904126,292.4949913,292.5652055,292.9334682,292.814576,292.7646697,293.0702429,293.1998837,293.6100395,292.9129257,293.0150042,292.349536,292.7174041,292.9986806
150,292.575236,292.9471951,293.1949063,293.2249118,292.7946981,293.2941975,293.1536294,293.272073,292.7870483,292.7630702,292.9826496,292.7352367,292.7725659,292.8751594,293.2851811,293.7943459,293.4851698,293.0911944,292.5392233,293.1077155,292.8292929
151,291.9736501,292.519009,292.6547262,292.5563318,292.3907595,292.6005428,292.7189815,292.7615614,292.4597814,292.4910412,292.6927218,292.2157325,292.552788,292.6405969,292.7448937,293.1413068,292.4236126,292.4177238,291.8813292,292.1623806,292.4171693
152,292.5852129,293.2473288,293.7341439,293.2244223,292.592298,292.7302837,293.1284384,293.0722205,292.8447644,292.9416643,292.8713096,292.7128673,293.0228302,293.3411828,293.9994842,294.2544667,293.0942651,293.1261872,293.0633218,293.8025647,293.5075247
153,291.757412,292.5520777,292.9664607,292.3028996,291.6238868,291.7376813,292.1073212,292.0821221,291.8669993,292.2121931,291.7212276,291.537592,291.7578008,292.1017242,292.5168966,293.0495941,291.9467275,291.9728268,292.1880973,292.7104574,292.492745
154,290.9176584,291.5609319,291.8966827,291.6991755,291.3482408,291.4722691,291.5884,291.4930444,291.2429181,291.4385405,291.4993884,291.2707819,291.5791092,291.7345176,292.0610231,292.1162707,291.6631859,291.3514208,291.2062505,291.5163035,291.5510699
155,296.2147963,296.6686647,296.7673421,296.5061969,296.6263658,296.7579985,297.2877309,297.2344667,296.9654843,296.6835194,297.1130158,296.4846194,296.8784342,297.0552671,297.0800351,297.4409272,296.9114374,296.42059,296.2772326,296.4358934,296.5005628
156,293.262374,293.6831929,294.0885521,294.1093706,293.5558969,293.9249072,293.7816549,294.0196121,293.7016087,293.8223002,293.9844081,293.824973,293.9238762,294.1189886,294.3745907,294.754223,294.2821801,293.8881225,293.6192596,293.9218001,293.8771258
157,295.3281039,295.6521354,295.8220079,295.8618584,295.6400711,295.9695839,295.7605772,296.105313,295.7715231,295.7523143,296.0324121,296.0366702,295.8499285,295.8061343,295.7646505,296.4437432,296.4083257,295.6192216,295.4829832,295.5144899,295.4478653
158,295.217586,295.7792001,296.0623297,296.0296216,295.4373546,295.5722378,295.8978097,296.0443439,295.9060128,295.8885225,296.085074,295.7594598,295.9203166,296.1270832,296.3666326,296.7412517,296.4109497,296.0400448,295.81855,295.9193693,296.099992
159,292.5672167,293.2607951,293.4338021,293.8609872,293.4273206,294.0383516,293.5842793,293.6748053,293.4134901,293.535945,293.8958641,293.6355256,293.5597294,293.8541221,293.9820682,294.1201037,293.9859823,293.5159585,293.0070691,293.5769297,293.8178417
160,291.6116432,292.3566405,292.5255351,292.4250967,291.632701,292.0224696,292.3101233,292.1623867,292.0244844,292.1394563,292.0832204,291.7327766,292.1339276,292.4173432,292.7784828,293.0396191,292.3871165,292.1837479,291.7464193,292.5259161,292.4163597
161,295.4103456,295.7883545,296.2985344,295.9247149,295.7024119,295.6159428,295.731408,296.1783397,295.5241352,296.0072509,296.1375563,295.6655255,295.7350425,296.1186757,296.2460682,296.7436663,296.142493,295.4611077,295.3582343,295.7140064,295.9730935
