gqid,modis_lst_mod11c3_061_day_annual_mean.2001.mean,modis_lst_mod11c3_061_day_annual_mean.2002.mean,modis_lst_mod11c3_061_day_annual_mean.2003.mean,modis_lst_mod11c3_061_day_annual_mean.2004.mean,modis_lst_mod11c3_061_day_annual_mean.2005.mean,modis_lst_mod11c3_061_day_annual_mean.2006.mean,modis_lst_mod11c3_061_day_annual_mean.2007.mean,modis_lst_mod11c3_061_day_annual_mean.2008.mean,modis_lst_mod11c3_061_day_annual_mean.2009.mean,modis_lst_mod11c3_061_day_annual_mean.2010.mean,modis_lst_mod11c3_061_day_annual_mean.2011.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2013.mean,modis_lst_mod11c3_061_day_annual_mean.2014.mean,modis_lst_mod11c3_061_day_annual_mean.2015.mean,modis_lst_mod11c3_061_day_annual_mean.2016.mean,modis_lst_mod11c3_061_day_annual_mean.2017.mean,modis_lst_mod11c3_061_day_annual_mean.2018.mean,modis_lst_mod11c3_061_day_annual_mean.2019.mean,modis_lst_mod11c3_061_day_annual_mean.2020.mean,modis_lst_mod11c3_061_day_annual_mean.2021.mean,modis_lst_mod11c3_061_day_annual_mean.2022.mean,modis_lst_mod11c3_061_day_annual_mean.2023.mean
49,304.4332257,305.3362742,304.4201458,303.5983279,303.1856824,303.6487723,303.1673382,303.8496666,303.6951523,302.7059957,304.3417657,304.2293093,304.3537354,305.2942291,306.0313006,304.8591241,303.410118,304.5082371,306.3916772,306.265659,306.055802,305.0854585,305.3708263
50,306.1911325,305.3857401,304.8458131,304.0575902,303.6067471,303.7026447,304.0744633,303.5274598,304.1544347,303.9468127,303.5548183,303.3473328,303.9984521,304.3727298,304.9598344,304.1316402,303.7748669,304.0307706,304.7118325,305.1766768,304.3841276,304.3576857,303.7225768
51,300.0741734,300.1600143,300.2539453,299.7579394,300.3810057,299.8593355,300.152574,300.1020535,300.0738669,300.2863433,300.3321781,299.9876143,300.3456887,300.3269992,300.8249568,300.2129468,299.856806,299.4534944,300.988496,300.6372503,300.1011843,299.7325925,300.768691
52,305.3087344,303.9474427,303.5377454,302.6092845,302.0634935,302.3681115,303.3955416,301.7443977,302.9176652,302.8020633,302.8099306,302.2379128,302.5953649,303.6535418,304.3996742,303.2904524,301.8918094,303.398715,303.942444,303.9300659,303.2574011,303.412652,302.9003035
53,305.6682363,305.7526597,304.16359,303.8412748,303.7981094,303.6575804,303.5169863,304.1896657,303.8183844,304.0211974,304.1662307,303.8419625,304.4314438,305.0661187,305.9110664,304.1467092,303.558667,304.6994206,306.1625942,304.8052242,303.9900343,303.6693112,304.536856
54,303.7897745,303.4411665,302.625362,301.7699225,302.408441,302.6979159,302.8254301,302.7951484,302.8536868,303.1634858,302.7237292,302.6278767,302.6068104,303.3000479,304.4591987,302.7073442,302.2145781,302.9224689,305.1304643,303.2608239,302.6000396,302.4677178,303.8628577
55,306.0721458,305.552118,304.2677077,303.5860959,302.8390377,302.5346622,303.3746655,301.8183966,302.9716768,303.0585489,302.3401763,302.3523381,303.1277745,304.1232424,304.5498391,303.2414542,303.1267992,302.711505,303.8440555,304.7699648,304.3260348,304.0232907,303.2119652
56,303.2861389,302.6467746,302.3455005,302.0997867,302.9163648,302.6856315,302.7197654,302.4514798,302.5536787,303.2136041,303.0824326,302.2868239,303.0546478,302.9442175,303.8064304,302.5409921,302.2597979,301.9458662,303.4368051,303.2471665,302.68759,302.3064444,302.6182086
57,300.2435648,300.5748211,299.9090226,299.5270469,300.1642383,300.0966585,300.4295518,300.2995134,300.2769265,300.4399985,300.4159224,300.1640064,300.0671612,300.3131337,301.1119113,300.2913904,300.0032605,299.5306128,301.2492738,300.6066287,300.0791247,299.8178515,300.8047769
58,301.0547626,301.0805696,300.7165112,300.4712867,301.1694958,300.8717387,300.9083483,300.9018178,301.0646922,301.2180815,301.5144452,300.9243664,301.0870587,301.2338223,301.7828274,301.1363798,300.7071026,300.5964598,302.363675,301.5158704,300.8643696,300.5825812,301.9252698
59,308.6217643,308.3657405,307.4078303,306.4628682,306.0186214,305.7442987,306.6283036,305.7259086,306.3564534,306.3455167,305.7447767,305.4934883,306.3546766,307.2667923,308.1005248,306.7675108,306.4563772,306.3878633,307.5334205,308.2956441,307.4495452,307.5374629,306.6624687
60,298.9690403,299.1763219,298.692873,298.8841421,298.9772272,299.0040118,298.6743335,298.7874883,298.5472156,298.4280188,298.7517481,298.918492,299.07008,299.4497971,299.3905675,299.1661722,298.9831388,299.2252452,299.1427852,299.5005587,299.1918677,298.3658454,298.7523485
61,302.9104601,303.0667181,302.9080592,301.2881435,300.9725243,301.7518071,301.5395001,301.9461962,301.8672651,301.0765225,301.977235,302.277058,303.3434445,303.393525,304.5264522,302.3496814,301.8550714,303.2646758,306.0245843,303.6189155,303.0967171,302.4648853,303.8550986
62,298.9679888,298.7651955,298.4435282,298.4931708,298.8084335,298.4177513,299.033029,298.887377,298.841441,298.7312563,298.3123523,298.3775454,299.1808081,298.4089112,298.8931974,298.5351096,298.6318091,298.0342964,298.241815,299.0334139,298.6671316,298.8416162,298.9728018
