code,park,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19
DOM-ROM,La Romana I,45767112,45700466,30360202,2504.81,64475784.34,86871487.46,88924034.34,107540272.8,142417240.5,149027694.1,117961569.5,96090446.4,109348909.2,23976243.91,22350938.8,27487893.6,190093144.4,194745598.4,0,230324790.3
DOM-S12,Santiago I y II,225923451.6,204519706,224106287.1,249613960.8,299285306.2,364876269.1,388270658.3,236055928.7,310274473.9,300025234.2,278022900.5,282651061.6,300309573.2,309542374.3,327431525,394255108.6,481804920,477759947.3,0,552219929.2
DOM-SAG,,,,,,,,,,,,,,3200000,4000000,3875000,3675420.2,4726408.12,4625335,0,4321596
DOM-SAL,Salcedo,600000,424000,108000,680000,1000000,1100000,800000,426870,1137281.22,1200000,350000,1000000,1000000,,,,,,,
DOM-SEI,,,1100000,1000000,1000000,1200000,1280000,380000,270000,485000,100000,180000,165428,350000,400000,500000,500000,750000,493125,0,250000
DOM-SLI,Santiago - Licey,5324144,5841036,5266436,5096523.67,5896089.89,6888061.78,5602682.06,6624658.03,8454945.33,8538773.87,7826394.28,6885414.8,4546693.8,9760616.35,6167959.6,7697014.1,8488603.96,9153904,0,11919603.94
DOM-SUN,,,,,,,,,,,,,,,,,,3000000,1500000,0,
DOM-SUR,,,,,,,,,,,,,,,,34883.7,61550.4,58550.38,65550,0,250000
DOM-TAL,,,,,,,,,,,,,,,,,146216,1050670.4,885653.4,0,1888567.75
DOM-TAM,Tamboril,220900,1105421,1712597,2820734.09,2960950,2493256.3,5051256.3,11281686,19152530.4,25009980.96,25743439.15,31327567.4,34757363.57,119387204.2,119205726.2,135653985.1,135588673.2,183333158,0,157767270.6
DOM-VEG,La Vega,45018217.52,35333650.95,33358579.75,28916103,25048742.11,36825806.62,67878688.21,58628083.13,29048057.92,31272807.25,41049789.56,40072679.2,41397804.18,43884802.95,44213754.4,49863556.7,48503969.15,51092612.8,0,63144684.31
DOM-VER,,,,,,,,,,,,,,,,,,,,,1085427
DOM-VIS,,,,,,268000,61659000,58000000,113481652,131602799.7,131602799.7,140000000,151000000,152692579.4,151900000,283200500,283200500,283200500,284250652,0,159779498
DOM-YAQ,,,,,,,,,,,,7861425.67,7876503.3,7478342,10877463.4,14000000,14800000,15053412,13598200,0,13785200
DOM-ZFE,Zonas Francas Especiales,89407341.28,115555165.5,103819228.7,122129320.8,153468289,246648419.8,338633896.3,356838732.8,476832894.9,614755059.9,612665215.3,645592057,734664960.1,,706226438.4,796046472.8,815912571.9,909724247,,887912897.7
DOM-ZOF,Zofinma (Mao),413004,593364,593364,593364,610000,610000,549000,,,,,,,,,,,,,
