,code,name,latitude,longitude,start,close,type,year,Administrativos (femeninos),Administrativos (masculinos),Gastos: Agua,Gastos: Electricidad,Gastos: Infotep,Gastos: TSS,Gastos: Telecomunicaciones,Inversion Acumulada,Naves Construidas,Naves Ocupadas,Numero de Empresas,Obreros (femeninos),Obreros (masculinos),Salario Operarios,Salario Tecnicos,Tecnicos (femeninos),Tecnicos (masculinos)
1397,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2003,738.0,928.0,34218860.57,201119669.6,16520485.61,92329447.79,21591433.41,249613960.8,3661475.0,3549868.0,83.0,17572.0,17499.0,1028.91,2046.54,1306.0,2430.0
1398,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2004,785.0,955.0,23892849.44,308988769.2,24149543.55,81698044.19,33352697.87,299285306.2,3684117.32,3684117.32,83.0,18994.0,19342.0,1167.37,2478.12,1320.0,2192.0
1399,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2005,644.0,753.0,32493454.17,303091368.2,24579596.4,94397401.9,33365802.05,364876269.1,3705996.68,3585213.68,77.0,14838.0,15273.0,1414.48,2872.94,1388.0,1982.0
1400,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2006,596.0,686.0,35329977.0,293768218.6,24586372.22,74116296.7,35722962.3,388270658.3,3705996.68,3591748.68,74.0,12664.0,12316.0,1575.32,3023.81,1538.0,2065.0
1401,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2007,441.0,510.0,17583117.16,161897027.3,16283965.76,177824716.7,25846482.74,236055928.7,3705997.0,2672118.0,68.0,8414.0,6623.0,1630.31,3406.77,715.0,974.0
1402,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2008,453.0,499.0,13718573.17,166163383.1,13158164.02,372308187.2,23194480.42,310274473.9,3709700.64,3073242.0,65.0,7843.0,5592.0,1774.77,3689.42,798.0,1155.0
1403,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2009,371.0,490.0,16174542.36,129867974.1,12134516.23,419989450.0,24463355.34,300025234.2,3709700.64,3039789.88,69.0,6516.0,5577.0,1724.54,3658.52,541.0,1036.0
1404,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2010,344.0,470.0,15411805.21,166844336.3,12982721.28,399145603.4,23907167.5,278022900.5,3709700.64,3027622.0,67.0,6227.0,5308.0,1835.03,3328.56,511.0,1072.0
1405,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2011,387.0,495.0,17049702.13,186080832.9,13756191.89,338004851.7,24975944.45,282651061.6,3709700.64,3052291.59,70.0,6641.0,5363.0,1953.6,3692.13,350.0,1014.0
1406,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2012,428.0,505.0,18209285.45,194981328.6,15151115.28,394171662.0,29898634.97,300309573.2,3736116.0,3218791.07,78.0,7445.0,6267.0,2054.16,4090.84,436.0,1371.0
