,code,name,latitude,longitude,start,close,type,variable,value,category,year,category_full
21215,DOM-ZOF,Zofinma (Mao),19.5539567,-71.09162809,1993.0,2006.0,private,buiilt_2005,38000.0,buiilt,2005,Naves Construidas
21216,DOM-6NO,Zona Franca 6 de Noviembre ,18.43423576,-70.07709655,2016.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21217,DOM-ALC,Los Alcarrizos ,18.52119218,-70.05086541,1990.0,0.0,public,buiilt_2006,563307.0,buiilt,2006,Naves Construidas
21218,DOM-ALT,Villa Altagracia ,18.68704785,-70.18063175,1988.0,0.0,private,buiilt_2006,225375.63,buiilt,2006,Naves Construidas
21219,DOM-AND,Andres,18.44233642,-69.64978048,2009.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21220,DOM-ARM,La Armeria ,18.42129421,-70.11766012,1990.0,0.0,public,buiilt_2006,337529.0,buiilt,2006,Naves Construidas
21221,DOM-AZU,Azua,0.0,0.0,2001.0,2004.0,public,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21222,DOM-BAN,Bani,18.25315476,-70.40511741,1986.0,0.0,private,buiilt_2006,380148.0,buiilt,2006,Naves Construidas
21223,DOM-BAR,Barahona ,18.22153648,-71.10145235,1989.0,0.0,public,buiilt_2006,276405.0,buiilt,2006,Naves Construidas
21224,DOM-BAY,Bayaguana,0.0,0.0,1999.0,2007.0,public,buiilt_2006,32356.0,buiilt,2006,Naves Construidas
21225,DOM-BON,Bonao ,18.92425177,-70.40416473,1988.0,0.0,public,buiilt_2006,500155.0,buiilt,2006,Naves Construidas
21226,DOM-CAD,Los Candelones ,19.55066181,-70.85609369,2017.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21227,DOM-CAN,La canela ,0.0,0.0,2003.0,2005.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21228,DOM-CDF,Parque Industrial CDF,19.49516261,-70.71634466,2014.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21229,DOM-CHE,Chemtec ,18.45851329,-69.28651371,1988.0,0.0,private,buiilt_2006,493802.0,buiilt,2006,Naves Construidas
21230,DOM-CIB,Cibernetico ,18.45320537,-69.66257273,2001.0,0.0,mix,buiilt_2006,100000.0,buiilt,2006,Naves Construidas
21231,DOM-CIP,Caribbean Industrial Park ,19.410116,-70.661171,1997.0,0.0,private,buiilt_2006,985000.0,buiilt,2006,Naves Construidas
21232,DOM-CON,Conacado Industrial Park ,19.32373849,-70.27604128,2013.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21233,DOM-COT,Cotui,19.03592402,-70.15049018,1990.0,2009.0,public,buiilt_2006,82965.0,buiilt,2006,Naves Construidas
21234,DOM-CRI,San Cristobal (Itabo) ,18.38627302,-70.04084591,1986.0,0.0,private,buiilt_2006,1739105.0,buiilt,2006,Naves Construidas
21235,DOM-CTQ,Parque Industrial CTQ ,19.42740185,-70.5940585,2015.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21236,DOM-DOS,Dos Rios  ,18.91241012,-70.37486281,2006.0,0.0,private,buiilt_2006,624080.0,buiilt,2006,Naves Construidas
21237,DOM-DPE,Don Pedro,0.0,0.0,2004.0,2007.0,private,buiilt_2006,26000.0,buiilt,2006,Naves Construidas
21238,DOM-ELV,Parque Industrial Elva Maria,19.45844729,-70.63018049,2017.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21239,DOM-EMI,Zona Franca Industrial Emimar ,19.42494677,-70.62298095,2014.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21240,DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988.0,0.0,public,buiilt_2006,486506.57,buiilt,2006,Naves Construidas
21241,DOM-EXC,Excel Boca Chica ,18.45806505,-69.63004786,1995.0,0.0,private,buiilt_2006,35000.0,buiilt,2006,Naves Construidas
21242,DOM-FLO,La Flor Dominicana ,19.48619912,-70.62006966,2019.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21243,DOM-FRA,San Francisco de Macoris ,19.27537126,-70.28770858,1990.0,0.0,public,buiilt_2006,164584.0,buiilt,2006,Naves Construidas
21244,DOM-GLO,Global Zona Franca Ind. ,18.53043559,-70.01195079,1995.0,0.0,private,buiilt_2006,199067.0,buiilt,2006,Naves Construidas
21245,DOM-GUR,Gurabo ,19.48857084,-70.658343,1993.0,0.0,private,buiilt_2006,480874.66,buiilt,2006,Naves Construidas
21246,DOM-HAI,Hainamosa ,18.51389836,-69.81584618,1988.0,0.0,private,buiilt_2006,481763.45,buiilt,2006,Naves Construidas
21247,DOM-HAN,Hato Nuevo ,18.53692314,-70.06254185,2001.0,0.0,public,buiilt_2006,149419.0,buiilt,2006,Naves Construidas
21248,DOM-HAT,Hato Mayor ,18.76258519,-69.26597733,1990.0,0.0,public,buiilt_2006,55019.0,buiilt,2006,Naves Construidas
21249,DOM-HER,Parque Z.F. Tecnologica de Herrera ,18.44047267,-69.9817525,2013.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21250,DOM-HIG,Higuey,0.0,0.0,1990.0,2005.0,public,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21251,DOM-HIP,La Herradura Industrial Park  ,19.45074236,-70.74300157,2015.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21252,DOM-HIS,La Hispaniola  ,18.92390206,-70.40485331,2005.0,0.0,private,buiilt_2006,117247.0,buiilt,2006,Naves Construidas
21253,DOM-HIT,Zona Franca Hit,18.4418766,-69.65026915,2018.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21254,DOM-IHA,Parque Ind. Exp. Haina,0.0,0.0,1994.0,2000.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21255,DOM-INE,Parque Industrial INETAB ,19.48954984,-70.72195582,2016.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21256,DOM-INF,ZF Ind. y de Servicios Norte Infiesto ,18.49179288,-69.98528116,2014.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21257,DOM-INT,Interexport Free Zone ,18.21182991,-71.11042584,2010.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21258,DOM-ISI,San Isidro ,18.50033327,-69.7873092,1986.0,0.0,private,buiilt_2006,1281783.96,buiilt,2006,Naves Construidas
21259,DOM-JAI,Jaibon,0.0,0.0,2000.0,2012.0,private,buiilt_2006,75320.0,buiilt,2006,Naves Construidas
21260,DOM-JAN,Ecopark Industrial Free Zone ,19.43705956,-70.70483542,1997.0,0.0,private,buiilt_2006,200000.0,buiilt,2006,Naves Construidas
21261,DOM-JOB,Zona Franca Jobo Industrial,19.47548577,-70.64268481,2015.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21262,DOM-KEP,Silver Key Park,0.0,0.0,2005.0,2006.0,private,buiilt_2006,108771.0,buiilt,2006,Naves Construidas
21263,DOM-KGC,Parque Ind. KG Compania Comercial,19.5498392,-70.84249449,2014.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21264,DOM-LAG,Laguna Prieta,0.0,0.0,1997.0,2007.0,private,buiilt_2006,16000.0,buiilt,2006,Naves Construidas
21265,DOM-LAS,Las Americas ,18.46024249,-69.7068226,1989.0,0.0,private,buiilt_2006,1433942.56,buiilt,2006,Naves Construidas
21266,DOM-LEO,Parque Industrial Eduardo Leon Jimenes ,19.46227703,-70.671318,2018.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21267,DOM-LIM,El Limonal ,19.44195379,-70.63858151,2005.0,0.0,private,buiilt_2006,40199.0,buiilt,2006,Naves Construidas
21268,DOM-LUN,Zona Franca Industrial Luna,0.0,0.0,2001.0,2007.0,private,buiilt_2006,80000.0,buiilt,2006,Naves Construidas
21269,DOM-MAC,San Pedro de Macoris ,18.45274371,-69.28915784,1973.0,0.0,public,buiilt_2006,2431726.0,buiilt,2006,Naves Construidas
21270,DOM-MAD,0,0.0,0.0,0.0,0.0,0,buiilt_2006,0.0,buiilt,2006,Naves Construidas
