asdf_id,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
67,0.104679307441,0.0825720924133,0.0983093275937,0.0778979160771,0.0683652133235,0.108297175433,0.123708876251,0.132836549311,0.113880505508,ADM2,67,67,DOM,DOM-ADM2-62336421B39354676,Peralta,ADM2
68,0.122962247531,0.0687441701199,0.0457519084052,0.136524585881,0.103990584208,0.0534300703874,0.176410976683,0.15316112337,0.143188470341,ADM2,68,68,DOM,DOM-ADM2-62336421B95502648,Postrer Río,ADM2
69,0.974107218486,0.920130956225,0.557787022697,0.860203759935,0.899966902895,0.774822919673,1.008654031,1.22700792572,0.900541752704,ADM2,69,69,DOM,DOM-ADM2-62336421B60282341,Pueblo Viejo,ADM2
70,4.97080531078,2.15564704516,1.91141009609,2.17334737177,2.1827026224,2.00873030096,2.72433016495,5.42545517306,3.37261795485,ADM2,70,70,DOM,DOM-ADM2-62336421B13638224,Sabana Grande de Palenque,ADM2
71,0.400458166053,0.365094900371,0.289170774531,0.35650822021,0.360209250382,0.343424263951,0.384604435854,0.414897129239,0.392129517959,ADM2,71,71,DOM,DOM-ADM2-62336421B57896719,San Juan,ADM2
72,6.89543736994,6.0211993267,4.7656054305,6.39555080473,6.49176840185,5.88360895014,6.2855107419,6.8927488224,6.48218073406,ADM2,72,72,DOM,DOM-ADM2-62336421B73103501,San Pedro De Macorís,ADM2
73,0.234450767767,0.125604269063,0.124029534851,0.148298724171,0.139728063016,0.126210738171,0.20204201912,0.255982185282,0.218683269956,ADM2,73,73,DOM,DOM-ADM2-62336421B26395262,San Rafael Del Yuma,ADM2
74,53.1528375949,39.0243125986,34.6097542843,39.1880278389,38.8459394637,37.8272521511,41.7483923024,48.377393426,45.6599493771,ADM2,74,74,DOM,DOM-ADM2-62336421B7640444,Santo Domingo De Guzmán,ADM2
75,0.369560852305,0.341702551692,0.327284951376,0.320531169647,0.357677243808,0.35540567605,0.315349880541,0.45724233782,0.351401009908,ADM2,75,75,DOM,DOM-ADM2-62336421B89891078,Villa Altagracia,ADM2
76,1.04633622819,0.814999008781,0.591892208316,0.793741982232,0.822554188985,0.723545157692,0.880814725908,1.19125714851,0.965478676322,ADM2,76,76,DOM,DOM-ADM2-62336421B89520614,Azua,ADM2
