id,shapeName,ntl_2000,ntl_2001,ntl_2002,ntl_2003,ntl_2004,ntl_2005,ntl_2006,ntl_2007,ntl_2008,ntl_2009,ntl_2010,ntl_2011,ntl_2012,ntl_2013,ntl_2014,ntl_2015,ntl_2016,ntl_2017,ntl_2018,ntl_2019,ntl_2020,ntl_2021,ntl_2022
83,Piedra Blanca,0.0,0.0178717587199311,0.0174305081537262,0.0188846077189576,0.0026571566799704,0.0024614938396475,0.0098248164070825,0.0036023541910413,0.0019311904626654,0.0042039918445104,0.0,0.0110737060970696,0.0416071505372501,0.1168655270470606,0.1187213382148275,0.1488108265909847,0.1569585826332434,0.2010489243553695,0.237508238694477,0.2670349713057837,0.2296648662867832,0.3843168289144872,0.5578312108968071
84,Guayubín,0.0062509153016313,0.0048399500159183,0.008007318751545,0.0049889963155843,0.0087793340146481,0.0056237304270359,0.0073783883184144,0.0022852480265912,0.0019733182064378,0.0041412712263621,0.0019733182064378,0.0080741167245066,0.0132378028661796,0.059064486337487,0.068673427683852,0.0977826834426328,0.1314201966364561,0.1771239952689989,0.1721676835263597,0.1946721673682319,0.2075930486016141,0.2879115032668969,0.3366053347123153
85,Santo Domingo Este,8.65376191973313,9.97536169509012,8.875915020327575,8.770073812850953,6.274574486709225,8.503688678353537,11.056687850287776,10.386501772233286,10.108121585225843,9.48537125672027,9.051007682671797,14.50474565983222,16.54194370128926,21.26284439054948,21.824095076279978,22.04266659320537,22.147509178051347,23.45806544358227,26.17872281709801,29.614466169711346,28.822156991048264,31.701692285174676,34.51528758137843
86,Santo Domingo Norte,2.454605692437301,2.043445848677709,1.6058160615807011,2.193604802002179,0.8952600640322297,1.5585524302320186,2.6522175230727236,2.3245410543940275,2.325624433769042,1.943764701980832,1.362184971726122,1.5921264242565956,3.0330957055629573,3.07846813760749,3.233143402056158,3.346379793374857,3.5567262144134784,3.598232064373768,4.060116702233468,4.636832731949566,5.218695302751325,6.127213010362274,6.816454786953383
87,Santo Domingo Oeste,11.633099723614665,10.958918288862863,12.230784029584132,10.84601451704733,5.731252823477009,8.47862899648926,13.457649459242338,13.099476692068668,12.160392849833102,7.126545679962654,6.868896725564459,10.733784352867392,17.613611477831864,21.020662779084127,21.458311934856333,21.767134219700587,21.90932938392851,22.529719886638137,24.58791751227828,29.93992908459941,28.64689440757525,29.42042065109935,31.090337535155623
88,Villa Vásquez,0.0223672169889789,0.042474070578453,0.0303492328855947,0.0474559320960684,0.0427018126239908,0.0257788348396962,0.0333700991218864,0.0308301085712267,0.0288803749001884,0.0185068287981348,0.008291384842105,0.0426561858981247,0.0791926159981692,0.2394291298094345,0.2058954506568097,0.2043680896690032,0.2208555536142263,0.2129844899018984,0.2123609587254636,0.2458346260418147,0.2660609815625187,0.4591154612369035,0.5889089828646359
89,Estebanía,0.0027215789085572,0.0032437238911865,0.0105988563951436,0.0084713904596525,0.0053871564490025,0.0052423238407161,0.0052423238407161,0.0,0.0010320100676541,0.0,0.0,0.0,0.0,0.0765024889448549,0.1143295332544215,0.0918093640638833,0.0963733568301632,0.1072759197574595,0.1117194972580524,0.1412682009837332,0.1715873667603746,0.1945369510097736,0.2185056246824435
90,Higüey,0.1489530502619007,0.1606378991857156,0.2341447048856519,0.1593193104696932,0.1951913169232254,0.1852819635114066,0.2596914527088254,0.2543563429559442,0.2791946515106132,0.293520994997948,0.2287516917624074,0.2941560798839157,0.4885049103961179,0.6740216392328505,0.7294216550034099,0.8027030210610393,0.8423370060787646,0.9404572815649072,1.199860185760098,1.3856114520125138,1.2675798726925025,1.485763438785563,1.6762522227387122
91,Río San Juan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080702934894517,0.0183720557306601,0.0431923830385658,0.053875043108942,0.0422356207396172,0.0519394318987148,0.100165130358469,0.1649604510635058,0.1393367458524375,0.1643876133651576,0.202072251221915,0.230371390983584
92,Bisonó,0.6031338615513245,0.8018084192263746,1.2644554238820518,0.9261778202022196,0.3970903338161762,0.3059686693905362,0.5161393237521382,0.2643905599593494,0.2499049780522609,0.1481347426767552,0.1090455301733307,0.3865636966920267,0.3897454531331786,1.856948798586247,2.857320158222743,3.276647721717428,2.9120230279037025,2.9310172157243106,2.9123813000179655,3.076867069349021,3.093643851030338,3.5013406500935464,3.695388966220685
