id,shapeName,egdp2000,egdp2001,egdp2002,egdp2003,egdp2004,egdp2005,egdp2006,egdp2007,egdp2008,egdp2009,egdp2010,egdp2011,egdp2012,egdp2013,egdp2014,egdp2015,egdp2016
54,Las Guáranas,60.08054923824237,61.734531554988806,64.63394992293097,66.38861637068729,66.96633691776034,71.07985285345248,76.10992033808837,80.38731657056246,82.12140835476858,82.63667733377105,87.20690029088188,89.01901394935213,90.73358885973109,93.84998755092715,97.99758066546684,105.4311349732034,110.31311089875656
55,Las Salinas,29.30073814304435,29.678202009610104,30.817549196995945,32.71919337253945,33.00387052794297,35.03118706515022,37.51021948895034,39.618303353646226,40.46153845325404,40.715414197187805,42.967180702791495,43.860015829871685,44.650389664021205,46.093949131989014,47.68708530395639,49.87768573422058,52.08032672790921
56,Bajos de Haina,998.6556345098156,1011.2561204461492,1051.895579031402,1050.1351202160704,1059.3848878262088,1124.4593303156832,1204.3621465271594,1272.0475981693637,1299.121824832991,1307.5497378068812,1390.768984267291,1420.0456705242982,1446.0910873450482,1492.8436169530837,1535.9632574081418,1606.5207416646622,1677.4660227569875
57,Castillo,57.371455594137586,59.22515868135525,63.459332393664944,65.29517645356702,65.86401578480123,69.90981992816224,74.85708846648535,79.06407599788088,80.75682653738004,81.26353458960853,85.75781519483117,87.53981803620562,89.11731783280185,91.99850614596814,97.96956311172129,103.54316786060149,108.11572119429997
58,Cevicos,48.22084093359755,48.799406969547256,50.7011095946326,52.69721582832875,53.16035159782451,56.42581290650894,60.41886711303218,63.81442286047868,65.17264777769645,65.58157319923242,69.21757065060675,70.65615957402716,71.92941020756373,74.25490796308888,77.71024048354695,81.28001407574789,84.86940869309156
59,Cristóbal,52.93565108863748,53.5712439642233,55.93444794270339,59.7241940818581,60.25288639489342,63.95401796745319,68.4798161794742,72.33522539565377,73.88016692949276,74.49311827608186,78.6148125523446,80.24838698184955,81.84961957715309,84.55405425394281,88.88337834231996,92.96641141678772,97.07188609406062
60,Hondo Valle,21.518986499747804,21.757276695995937,22.550554504961347,22.51692077838908,22.6793326017319,24.02190556350876,25.66415911918761,27.07079962047877,27.6308396712822,27.82715434689147,29.26515936378171,29.963487034627033,30.515084225815887,31.496900263370247,32.853502392710425,34.329156089062785,35.81436673782622
61,Imbert,88.7027916811261,89.97525689058446,95.00540719534844,100.27712646880566,101.14959916980828,107.36287824645932,114.9605672877209,121.42137948344735,124.00570955393364,124.78378152087625,131.68494989603178,134.42129416600164,136.84361541791287,141.26780795419907,151.61488412653696,160.11311330619975,167.62598112903396
62,La Ciénaga,22.830272621617592,23.149723113225953,24.111743701556144,25.498983695226556,25.720840283994583,27.300785049153312,29.232764585520695,30.87565326503679,31.532809927475213,31.730662431553306,33.48552699994807,34.18133835453614,34.797298891462525,35.92230526968546,37.62055509873465,39.3487296391936,41.08640311442169
63,Los Ríos,32.51574404642862,32.905876177315626,34.168954442587555,36.70469130721747,37.0240445919481,39.29830682856195,42.079308093178504,44.44417620347996,45.40158268914503,45.686454618561505,48.21314426473542,49.2149876359631,50.10186048395494,51.72166767330731,54.130184598179426,57.1290992165313,59.65196889253224
