shapeName,id,year,total_sol
Guayacanes,99,1994,320.56308008274607
Barahona,100,1994,343.8502983019048
Bonao,101,1994,833.0749162929021
Pepillo Salcedo,102,1994,23.5282710814885
La Vega,103,1994,1096.8461656348381
San José De Ocoa,104,1994,130.7146670591598
Rancho Arriba,105,1994,27.992434010552415
Juan De Herrera,106,1994,126.036100380035
San Ignacio De Sabaneta,107,1994,162.60992551422592
Villa González,108,1994,330.44741644584667
Vallejuelo,109,1994,38.79848850135708
Villa Isabela,110,1994,37.58343872281849
Villa Tapia,111,1994,49.43046145707954
Yaguate,112,1994,107.9887884055867
Altamira,113,1994,41.24731641847129
El Seibo,114,1994,338.55962357602857
Jánico,115,1994,80.23678438628421
Salcedo,116,1994,137.92745823252432
Restauración,117,1994,38.999187110452084
San Gregorio de Nigua,118,1994,147.61684171650924
Cayetano Germosén,119,1994,19.48283608999907
Galván,120,1994,66.17694687416743
Gaspar Hernández,121,1994,93.26358794663464
Guayabal,122,1994,31.710230424678805
Jaquimeyes,123,1994,16.56611664306884
Laguna Salada,124,1994,47.48124353090923
La Mata,125,1994,80.35962962829602
Las Matas De Farfán,126,1994,170.04252225607638
Las Terrenas,127,1994,40.0085041349425
Loma De Cabrera,128,1994,38.98206928945056
Nagua,129,1994,254.3895038763682
Partido,130,1994,25.18502393259722
Pedro Santana,131,1994,74.7484343844886
Duvergé,132,1994,88.90168071430102
Sabana Yegua,133,1994,32.47525851019457
Samaná,134,1994,103.50038630965295
Los Alcarrizos,135,1994,857.0310124598298
Nizao,136,1994,51.50955211298139
Polo,137,1994,28.553325014605242
Quisqueya,138,1994,157.40654777031318
Bánica,139,1994,37.57831005486202
Cotuí,140,1994,440.4853242276931
San Antonio De Guerra,141,1994,269.28525304017114
San Cristóbal,142,1994,1179.3780993482644
El Pino,143,1994,14.103388458548812
Cambita Garabitos,144,1994,93.20692635032476
Villa Jaragua,145,1994,31.49964750672089
Ramón Santana,146,1994,53.77539139068595
Fundación,147,1994,69.86613401980959
Cabrera,148,1994,51.545114639050816
Cabral,149,1994,23.745986010221877
El Valle,150,1994,29.013768836213092
Enriquillo,151,1994,63.43251245945106
Santiago,152,1994,4074.55015372453
Baitoa,153,1994,30.606231564517106
Pedernales,154,1994,156.50639728915456
Isla Beata,155,1994,3.1427551582747815
La Romana,156,1994,1003.5010934794066
Isla Saona,157,1994,8.028611844427445
Isla Catalina,158,1994,0.20872771739959717
San Luis,159,1994,304.43903868478884
San Victor,160,1994,296.62654371509956
Matanzas,161,1994,141.7368241631517
Constanza,0,1995,547.374283961484
Sabana De La Mar,1,1995,90.48759562273816
Moca,2,1995,501.169500445443
Bayaguana,3,1995,230.26492339103834
El Factor,4,1995,57.296738053536885
San Francisco De Macorís,5,1995,1005.5694590627559
Puerto Plata,6,1995,723.4106269115035
Jamao Al Norte,7,1995,20.731148804987182
Las Matas de Santa Cruz,8,1995,15.257070233249193
Jimaní,9,1995,94.3270392717684
Baní,10,1995,716.1578224042466
Villa Hermosa,11,1995,544.4386990856306
El Cercado,12,1995,50.84979232438639
Eugenio María De Hostos,13,1995,16.517577618594263
Bohechío,14,1995,81.72616656223934
Arenoso,15,1995,28.437995743225606
Tábara Arriba,16,1995,54.31791220953064
Vicente Noble,17,1995,77.97021957706004
Consuelo,18,1995,125.01274584035079
Puñal,19,1995,612.3624524948644
Juan Santiago,20,1995,16.46128103855778
La Descubierta,21,1995,32.3350013818811
Boca Chica,22,1995,1075.8929383139985
Tenares,23,1995,96.01746658811382
Villa Montellano,24,1995,83.49002233433961
Sosúa,25,1995,258.65049635873123
Las Charcas,26,1995,46.92892118163552
Castañuelas,27,1995,42.12263250789221
Jarabacoa,28,1995,564.9860794551232
Jima Abajo,29,1995,68.80571845524452
Pimentel,30,1995,67.77841384843285
Yamasá,31,1995,88.64490392079537
Sabana Iglesia,32,1995,41.405344416464075
Dajabón,33,1995,128.67976695293305
Los Cacaos,34,1995,29.113044139991192
El Peñón,35,1995,16.594315884627544
Fantino,36,1995,52.49898383775179
Guananico,37,1995,12.515147994721634
Hato Mayor,38,1995,393.57830454374084
Tamboril,39,1995,387.67323971244616
Miches,40,1995,70.2201826061396
Monte Plata,41,1995,193.0391520229917
Oviedo,42,1995,129.60131843449435
El Llano,43,1995,15.959652180882058
Guaymate,44,1995,94.16249872825895
Los Hidalgos,45,1995,25.378417789702322
Maimón,46,1995,111.74927617574436
Mella,47,1995,67.61062094878913
Monción,48,1995,50.91628814590913
Monte Cristi,49,1995,129.34641625936703
Neiba,50,1995,132.06839269078245
Sabana Grande De Boyá,51,1995,106.86402532510901
Las Yayas De Viajama,52,1995,69.64418011567756
Licey Al Medio,53,1995,277.44622332816033
Las Guáranas,54,1995,43.904606082217356
Las Salinas,55,1995,23.06580636945425
Bajos de Haina,56,1995,755.5915925212935
Castillo,57,1995,41.261783989445824
Cevicos,58,1995,38.38165696714731
Cristóbal,59,1995,39.06401741037184
Hondo Valle,60,1995,17.325054206158608
Imbert,61,1995,67.66797300238237
La Ciénaga,62,1995,18.16980397075999
Los Ríos,63,1995,25.9110038986393
Padre Las Casas,64,1995,95.6549702305712
Paraíso,65,1995,22.771486213803293
Pedro Brand,66,1995,664.8198543464434
Peralta,67,1995,20.755762189918872
Postrer Río,68,1995,18.869032304777825
Pueblo Viejo,69,1995,36.38798027412564
Sabana Grande de Palenque,70,1995,42.27752380254222
San Juan,71,1995,688.1828683611809
San Pedro De Macorís,72,1995,1038.5731118509584
San Rafael Del Yuma,73,1995,227.9099164998707
Santo Domingo De Guzmán,74,1995,2604.6054754668594
Villa Altagracia,75,1995,177.92208462643856
Azua,76,1995,429.70738376326443
Sabana Larga,77,1995,63.140958109731756
Sánchez,78,1995,62.42828993540185
San José De Las Matas,79,1995,279.4991445571622
Luperón,80,1995,51.709036074724864
Comendador,81,1995,77.14537733541985
Los Llanos,82,1995,180.71973022421201
Piedra Blanca,83,1995,74.09761266170757
Guayubín,84,1995,137.30165997650107
Santo Domingo Este,85,1995,2426.720183599696
