,code,park,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_f_00,tec_f_00,adm_f_00,total_f_00,total_mf_00,ob_m_01,tec_m_01,adm_m_01,total_m_01,ob_f_01,tec_f_01,adm_f_01,total_f_01,total_mf_01,ob_m_02,tec_m_02,adm_m_02,total_m_02,ob_f_02,tec_f_02,adm_f_02,total_f_02,total_mf_02,ob_m_03,tec_m_03,adm_m_03,total_m_03,ob_f_03,tec_f_03,adm_f_03,total_f_03,total_mf_03,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_f_04,tec_f_04,adm_f_04,total_f_04,total_mf_04,ob_m_05,tec_m_05,adm_m_05,total_m_05,ob_f_05,tec_f_05,adm_f_05,total_f_05,total_mf_05,ob_m_06,tec_m_06,adm_m_06,total_m_06,ob_f_06,tec_f_06,adm_f_06,total_f_06,total_mf_06,ob_m_07,tec_m_07,adm_m_07,total_m_07,ob_f_07,tec_f_07,adm_f_07,total_f_07,total_mf_07,ob_m_08,tec_m_08,adm_m_08,total_m_08,ob_f_08,tec_f_08,adm_f_08,total_f_08,total_mf_08,ob_m_09,tec_m_09,adm_m_09,total_m_09,ob_f_09,tec_f_09,adm_f_09,total_f_09,total_mf_09,ob_m_10,tec_m_10,adm_m_10,total_m_10,ob_f_10,tec_f_10,adm_f_10,total_f_10,total_mf_10,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_f_11,tec_f_11,adm_f_11,total_f_11,total_mf_11,ob_m_12,tec_m_12,adm_m_12,total_m_12,ob_f_12,tec_f_12,adm_f_12,total_f_12,total_mf_12,ob_m_14,tec_m_14,adm_m_14,total_m_14,ob_f_14,tec_f_14,adm_f_14,total_f_14,total_mf_14,ob_m_15,tec_m_15,adm_m_15,total_m_15,ob_f_15,tec_f_15,adm_f_15,total_f_15,total_mf_15,ob_m_16,tec_m_16,adm_m_16,total_m_16,ob_f_16,tec_f_16,adm_f_16,total_f_16,total_mf_16
26,DOM-GUR,Gurabo,1041.0,7.0,221.0,1269.0,884.0,6.0,171.0,1061.0,2330.0,1116.0,178.0,127.0,1421.0,923.0,87.0,66.0,1076.0,2497.0,1045.0,266.0,185.0,1496.0,735.0,206.0,107.0,1048.0,2544.0,671.0,155.0,151.0,977.0,724.0,133.0,94.0,951.0,1928.0,1136.0,119.0,55.0,1310.0,985.0,69.0,213.0,1267.0,2577.0,990.0,363.0,119.0,1472.0,944.0,188.0,92.0,1224.0,2696.0,1062.0,165.0,44.0,1271.0,934.0,81.0,33.0,1048.0,2319.0,1158.0,86.0,272.0,1516.0,1051.0,19.0,229.0,1299.0,2815.0,519.0,130.0,79.0,728.0,412.0,73.0,61.0,546.0,1274.0,653.0,149.0,88.0,890.0,510.0,79.0,62.0,651.0,1541.0,587.0,93.0,87.0,767.0,426.0,27.0,54.0,507.0,1274.0,708.0,84.0,63.0,855.0,617.0,44.0,74.0,735.0,1590.0,907.0,139.0,81.0,1127.0,619.0,34.0,87.0,740.0,1867.0,1672.0,176.0,168.0,2016.0,1070.0,67.0,139.0,1276.0,3292.0,1812.0,168.0,174.0,2154.0,1225.0,73.0,138.0,1436.0,,1277.0,696.0,227.0,2200.0,1003.0,447.0,167.0,1617.0,3817.0
27,DOM-HAI,Hainamosa,1670.0,42.0,58.0,1770.0,1130.0,68.0,38.0,1236.0,3006.0,484.0,163.0,58.0,705.0,816.0,177.0,67.0,1060.0,1765.0,443.0,55.0,93.0,591.0,772.0,28.0,66.0,866.0,1457.0,481.0,75.0,99.0,655.0,1033.0,23.0,66.0,1122.0,1777.0,598.0,50.0,49.0,697.0,1057.0,21.0,28.0,1106.0,1803.0,361.0,31.0,19.0,411.0,357.0,47.0,20.0,424.0,835.0,558.0,27.0,33.0,618.0,229.0,28.0,39.0,296.0,914.0,332.0,42.0,22.0,396.0,423.0,27.0,29.0,479.0,875.0,339.0,30.0,28.0,397.0,432.0,7.0,24.0,463.0,860.0,244.0,24.0,17.0,285.0,420.0,8.0,22.0,450.0,735.0,230.0,35.0,17.0,282.0,522.0,5.0,21.0,548.0,830.0,133.0,23.0,14.0,170.0,127.0,10.0,9.0,146.0,316.0,184.0,31.0,11.0,226.0,150.0,3.0,13.0,166.0,392.0,143.0,31.0,8.0,182.0,129.0,7.0,16.0,152.0,334.0,177.0,44.0,13.0,234.0,164.0,21.0,23.0,208.0,,187.0,57.0,11.0,255.0,189.0,23.0,26.0,238.0,493.0
28,DOM-HAN,,,,,,,,,,,137.0,16.0,5.0,158.0,137.0,16.0,5.0,158.0,316.0,105.0,10.0,4.0,119.0,194.0,14.0,5.0,213.0,332.0,303.0,5.0,5.0,313.0,192.0,17.0,7.0,216.0,529.0,466.0,24.0,6.0,496.0,216.0,18.0,12.0,246.0,742.0,146.0,17.0,3.0,166.0,204.0,27.0,15.0,246.0,412.0,88.0,16.0,5.0,109.0,116.0,25.0,6.0,147.0,256.0,34.0,5.0,4.0,43.0,28.0,2.0,11.0,41.0,84.0,20.0,9.0,8.0,37.0,35.0,3.0,12.0,50.0,87.0,19.0,9.0,7.0,35.0,33.0,3.0,8.0,44.0,79.0,45.0,13.0,10.0,68.0,57.0,7.0,12.0,76.0,144.0,42.0,15.0,9.0,66.0,19.0,37.0,17.0,73.0,139.0,41.0,21.0,12.0,74.0,12.0,10.0,16.0,38.0,112.0,104.0,22.0,30.0,156.0,46.0,9.0,25.0,80.0,236.0,72.0,20.0,31.0,123.0,49.0,5.0,31.0,85.0,,67.0,21.0,35.0,123.0,36.0,8.0,33.0,77.0,200.0
29,DOM-HAT,Hato Mayor,166.0,17.0,12.0,195.0,309.0,8.0,6.0,323.0,518.0,228.0,12.0,6.0,246.0,454.0,1.0,3.0,458.0,704.0,110.0,14.0,9.0,133.0,237.0,3.0,3.0,243.0,376.0,98.0,14.0,2.0,114.0,247.0,3.0,4.0,254.0,368.0,94.0,14.0,2.0,110.0,267.0,6.0,5.0,278.0,388.0,118.0,17.0,4.0,139.0,330.0,5.0,6.0,341.0,480.0,157.0,6.0,2.0,165.0,590.0,4.0,8.0,602.0,767.0,131.0,32.0,3.0,166.0,519.0,15.0,7.0,541.0,707.0,53.0,12.0,2.0,67.0,280.0,7.0,6.0,293.0,360.0,,,,,,,,,,,,,,,,,,,20.0,1.0,1.0,22.0,58.0,2.0,2.0,62.0,84.0,65.0,8.0,0.0,73.0,159.0,6.0,5.0,170.0,243.0,51.0,10.0,2.0,63.0,120.0,12.0,7.0,139.0,202.0,51.0,10.0,2.0,63.0,119.0,11.0,7.0,137.0,,55.0,10.0,2.0,67.0,144.0,22.0,9.0,175.0,242.0
30,DOM-HER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,270.0,15.0,285.0,0.0,230.0,11.0,241.0,526.0,0.0,240.0,17.0,257.0,0.0,227.0,12.0,239.0,,0.0,240.0,12.0,252.0,0.0,184.0,11.0,195.0,447.0
31,DOM-HIG,Higuey,147.0,84.0,10.0,241.0,1022.0,99.0,8.0,1129.0,1370.0,136.0,75.0,16.0,227.0,924.0,101.0,9.0,1034.0,1261.0,43.0,33.0,5.0,81.0,341.0,8.0,4.0,353.0,434.0,18.0,27.0,4.0,49.0,345.0,4.0,4.0,353.0,402.0,52.0,26.0,3.0,81.0,350.0,10.0,3.0,363.0,444.0,47.0,23.0,2.0,72.0,322.0,15.0,5.0,342.0,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,DOM-HIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,3.0,2.0,20.0,1.0,2.0,0.0,3.0,,11.0,1.0,1.0,13.0,0.0,1.0,0.0,1.0,14.0
33,DOM-HIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,4.0,1.0,86.0,5.0,1.0,3.0,9.0,95.0,66.0,4.0,5.0,75.0,10.0,0.0,0.0,10.0,85.0,52.0,2.0,3.0,57.0,3.0,0.0,0.0,3.0,60.0,81.0,5.0,2.0,88.0,8.0,1.0,1.0,10.0,98.0,81.0,5.0,2.0,88.0,6.0,3.0,1.0,10.0,98.0,13.0,0.0,3.0,16.0,3.0,0.0,3.0,6.0,22.0,10.0,1.0,1.0,12.0,3.0,2.0,1.0,6.0,18.0,3.0,3.0,2.0,8.0,0.0,0.0,1.0,1.0,9.0,73.0,1.0,2.0,76.0,3.0,0.0,2.0,5.0,81.0,51.0,2.0,2.0,55.0,3.0,0.0,2.0,5.0,,50.0,8.0,5.0,63.0,0.0,0.0,0.0,0.0,63.0
34,DOM-IHA,Parque Exp. Haina,179.0,24.0,26.0,229.0,490.0,28.0,14.0,532.0,761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,DOM-INE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,7.0,25.0,197.0,271.0,4.0,14.0,289.0,486.0
36,DOM-INF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,2.0,8.0,1.0,0.0,1.0,2.0,10.0,5.0,0.0,2.0,7.0,1.0,0.0,1.0,2.0,,5.0,1.0,1.0,7.0,1.0,0.0,1.0,2.0,9.0
37,DOM-INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,47.0,19.0,179.0,0.0,0.0,10.0,10.0,189.0,157.0,47.0,21.0,225.0,0.0,0.0,10.0,10.0,235.0,141.0,40.0,19.0,200.0,0.0,0.0,8.0,8.0,208.0,95.0,104.0,22.0,221.0,0.0,0.0,13.0,13.0,234.0,135.0,42.0,35.0,212.0,0.0,0.0,13.0,13.0,,157.0,41.0,36.0,234.0,0.0,0.0,11.0,11.0,245.0
38,DOM-ISI,San Isidro,2059.0,705.0,149.0,2913.0,3185.0,1171.0,201.0,4557.0,7470.0,1530.0,715.0,241.0,2486.0,3615.0,893.0,289.0,4797.0,7283.0,1160.0,920.0,278.0,2358.0,3276.0,1187.0,267.0,4730.0,7088.0,1478.0,1573.0,236.0,3287.0,3371.0,1353.0,258.0,4982.0,8269.0,3250.0,1154.0,379.0,4783.0,3607.0,973.0,257.0,4837.0,9620.0,2042.0,537.0,328.0,2907.0,4116.0,364.0,283.0,4763.0,7670.0,2494.0,828.0,333.0,3655.0,4145.0,401.0,329.0,4875.0,8530.0,2061.0,834.0,380.0,3275.0,4050.0,581.0,361.0,4992.0,8267.0,2344.0,1138.0,269.0,3751.0,4676.0,628.0,299.0,5603.0,9354.0,2289.0,1077.0,202.0,3568.0,4147.0,663.0,291.0,5101.0,8669.0,2943.0,1226.0,303.0,4472.0,4882.0,744.0,358.0,5984.0,10456.0,3091.0,853.0,322.0,4266.0,5307.0,491.0,313.0,6111.0,10377.0,3221.0,1001.0,300.0,4522.0,5449.0,569.0,307.0,6325.0,10847.0,2077.0,1925.0,364.0,4366.0,5253.0,1385.0,335.0,6973.0,11339.0,2015.0,2093.0,410.0,4518.0,5416.0,1170.0,376.0,6962.0,,3556.0,2009.0,352.0,5917.0,4076.0,1233.0,378.0,5687.0,11604.0
39,DOM-JAI,Jaibón,13.0,5.0,0.0,18.0,57.0,2.0,3.0,62.0,80.0,20.0,5.0,1.0,26.0,18.0,2.0,3.0,23.0,49.0,1.0,2.0,3.0,6.0,2.0,2.0,1.0,5.0,11.0,49.0,21.0,2.0,72.0,1.0,2.0,1.0,4.0,76.0,42.0,23.0,1.0,66.0,1.0,3.0,0.0,4.0,70.0,42.0,23.0,1.0,66.0,1.0,3.0,0.0,4.0,70.0,45.0,18.0,1.0,64.0,1.0,2.0,0.0,3.0,67.0,29.0,5.0,1.0,35.0,7.0,1.0,2.0,10.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,0.0,11.0,0.0,0.0,1.0,1.0,12.0,10.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,DOM-JAN,Santiago-Jánico,196.0,17.0,11.0,224.0,30.0,5.0,6.0,41.0,265.0,330.0,35.0,43.0,408.0,156.0,1.0,18.0,175.0,583.0,424.0,16.0,3.0,443.0,109.0,9.0,6.0,124.0,567.0,595.0,114.0,66.0,775.0,184.0,74.0,117.0,375.0,1150.0,761.0,231.0,64.0,1056.0,390.0,62.0,113.0,565.0,1621.0,729.0,157.0,29.0,915.0,256.0,86.0,65.0,407.0,1322.0,608.0,47.0,55.0,710.0,468.0,20.0,22.0,510.0,1220.0,486.0,36.0,46.0,568.0,374.0,18.0,16.0,408.0,976.0,93.0,2.0,0.0,95.0,78.0,1.0,3.0,82.0,177.0,185.0,5.0,4.0,194.0,118.0,2.0,6.0,126.0,320.0,164.0,12.0,18.0,194.0,51.0,0.0,14.0,65.0,259.0,241.0,13.0,23.0,277.0,115.0,0.0,15.0,130.0,407.0,232.0,42.0,14.0,288.0,123.0,0.0,17.0,140.0,428.0,228.0,48.0,17.0,293.0,1.0,3.0,19.0,23.0,316.0,282.0,81.0,25.0,388.0,20.0,15.0,14.0,49.0,,343.0,86.0,32.0,461.0,73.0,14.0,18.0,105.0,566.0
41,DOM-JOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,4.0,33.0,17.0,0.0,5.0,22.0,,17.0,6.0,2.0,25.0,6.0,0.0,5.0,11.0,36.0
42,DOM-KEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,6.0,3.0,38.0,1.0,6.0,6.0,13.0,51.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,DOM-KGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,5.0,1.0,66.0,323.0,0.0,3.0,326.0,392.0,64.0,5.0,1.0,70.0,364.0,0.0,4.0,368.0,,53.0,3.0,1.0,57.0,286.0,0.0,3.0,289.0,346.0
44,DOM-LAG,Laguna Prieta,39.0,1.0,2.0,42.0,30.0,1.0,3.0,34.0,76.0,51.0,1.0,2.0,54.0,47.0,1.0,4.0,52.0,106.0,42.0,12.0,3.0,57.0,40.0,3.0,5.0,48.0,105.0,41.0,15.0,2.0,58.0,36.0,5.0,4.0,45.0,103.0,7.0,1.0,1.0,9.0,1.0,0.0,1.0,2.0,11.0,3.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,6.0,3.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,DOM-LAS,Las Américas,3052.0,349.0,426.0,3827.0,5721.0,206.0,481.0,6408.0,10235.0,2651.0,371.0,335.0,3357.0,5035.0,364.0,280.0,5679.0,9036.0,2854.0,291.0,383.0,3528.0,5500.0,185.0,340.0,6025.0,9553.0,3420.0,288.0,388.0,4096.0,5335.0,373.0,332.0,6040.0,10136.0,3689.0,549.0,415.0,4653.0,5860.0,320.0,332.0,6512.0,11165.0,3604.0,737.0,381.0,4722.0,5611.0,298.0,313.0,6222.0,10944.0,3540.0,719.0,375.0,4634.0,5816.0,421.0,366.0,6603.0,11237.0,3713.0,735.0,668.0,5116.0,5330.0,443.0,421.0,6194.0,11310.0,4070.0,619.0,632.0,5321.0,6757.0,574.0,437.0,7768.0,13089.0,2445.0,712.0,559.0,3716.0,6296.0,645.0,352.0,7293.0,11009.0,2991.0,824.0,441.0,4256.0,5701.0,623.0,330.0,6654.0,10910.0,2402.0,836.0,495.0,3733.0,6449.0,458.0,361.0,7268.0,11001.0,2385.0,906.0,480.0,3771.0,6893.0,540.0,370.0,7803.0,11574.0,2473.0,729.0,612.0,3814.0,7449.0,402.0,484.0,8335.0,12149.0,2647.0,839.0,487.0,3973.0,7918.0,611.0,517.0,9046.0,,2615.0,1040.0,397.0,4052.0,7475.0,783.0,429.0,8687.0,12739.0
46,DOM-LIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,17.0,15.0,137.0,127.0,6.0,8.0,141.0,278.0,75.0,12.0,10.0,97.0,109.0,3.0,9.0,121.0,218.0,72.0,7.0,10.0,89.0,59.0,2.0,10.0,71.0,160.0,69.0,8.0,10.0,87.0,61.0,2.0,9.0,72.0,159.0,100.0,7.0,6.0,113.0,62.0,3.0,7.0,72.0,185.0,70.0,10.0,2.0,82.0,80.0,6.0,6.0,92.0,174.0,106.0,11.0,2.0,119.0,134.0,6.0,6.0,146.0,265.0,36.0,12.0,5.0,53.0,67.0,9.0,7.0,83.0,136.0,125.0,22.0,24.0,171.0,165.0,5.0,24.0,194.0,365.0,63.0,15.0,17.0,95.0,155.0,5.0,26.0,186.0,,68.0,13.0,23.0,104.0,131.0,7.0,25.0,163.0,267.0
47,DOM-LUN,,,,,,,,,,,52.0,3.0,5.0,60.0,60.0,7.0,5.0,72.0,132.0,151.0,24.0,1.0,176.0,121.0,4.0,4.0,129.0,305.0,183.0,67.0,4.0,254.0,204.0,2.0,4.0,210.0,464.0,175.0,91.0,5.0,271.0,228.0,12.0,7.0,247.0,518.0,208.0,37.0,9.0,254.0,158.0,23.0,2.0,183.0,437.0,173.0,13.0,6.0,192.0,127.0,12.0,2.0,141.0,333.0,31.0,5.0,4.0,40.0,23.0,2.0,2.0,27.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,DOM-MAC,San Pedro Mac.,6022.0,958.0,318.0,7298.0,9442.0,676.0,325.0,10443.0,17741.0,4671.0,1089.0,308.0,6068.0,9122.0,729.0,294.0,10145.0,16213.0,5127.0,921.0,334.0,6382.0,9370.0,635.0,284.0,10289.0,16671.0,5012.0,1106.0,340.0,6458.0,9325.0,551.0,299.0,10175.0,16633.0,5668.0,1185.0,411.0,7264.0,9995.0,852.0,410.0,11257.0,18521.0,4014.0,924.0,309.0,5247.0,7075.0,469.0,299.0,7843.0,13090.0,3287.0,760.0,306.0,4353.0,6420.0,431.0,231.0,7082.0,11435.0,2708.0,895.0,273.0,3876.0,6543.0,474.0,266.0,7283.0,11159.0,3559.0,762.0,299.0,4620.0,4580.0,454.0,276.0,5310.0,9930.0,2559.0,695.0,283.0,3537.0,5213.0,386.0,250.0,5849.0,9386.0,2718.0,808.0,298.0,3824.0,5772.0,443.0,261.0,6476.0,10300.0,2306.0,733.0,235.0,3274.0,4966.0,352.0,257.0,5575.0,8849.0,2358.0,867.0,243.0,3468.0,4933.0,439.0,275.0,5647.0,9115.0,2770.0,788.0,341.0,3899.0,5478.0,303.0,288.0,6069.0,9968.0,3200.0,1035.0,416.0,4651.0,6346.0,340.0,327.0,7013.0,,3132.0,985.0,466.0,4583.0,6275.0,337.0,339.0,6951.0,11534.0
49,DOM-MAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,,61.0,11.0,4.0,76.0,31.0,5.0,1.0,37.0,113.0
50,DOM-MEL,Villa Mella,121.0,247.0,31.0,399.0,3089.0,400.0,107.0,3596.0,3995.0,243.0,177.0,36.0,456.0,2552.0,256.0,35.0,2843.0,3299.0,90.0,103.0,62.0,255.0,1551.0,65.0,140.0,1756.0,2011.0,103.0,117.0,11.0,231.0,1521.0,126.0,25.0,1672.0,1903.0,220.0,149.0,49.0,418.0,2303.0,150.0,49.0,2502.0,2920.0,169.0,119.0,65.0,353.0,1665.0,38.0,107.0,1810.0,2163.0,166.0,128.0,69.0,363.0,1312.0,42.0,99.0,1453.0,1816.0,18.0,6.0,4.0,28.0,3.0,0.0,3.0,6.0,34.0,47.0,13.0,5.0,65.0,112.0,2.0,5.0,119.0,184.0,63.0,26.0,5.0,94.0,201.0,14.0,22.0,237.0,331.0,73.0,11.0,6.0,90.0,143.0,6.0,10.0,159.0,249.0,70.0,10.0,5.0,85.0,107.0,5.0,6.0,118.0,203.0,67.0,17.0,10.0,94.0,99.0,14.0,8.0,121.0,215.0,142.0,24.0,10.0,176.0,109.0,10.0,7.0,126.0,302.0,98.0,22.0,10.0,130.0,121.0,10.0,11.0,142.0,,89.0,25.0,7.0,121.0,105.0,11.0,7.0,123.0,244.0
51,DOM-MIN,Los Minas,2.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,6.0,90.0,6.0,5.0,101.0,0.0,0.0,4.0,4.0,105.0,121.0,11.0,4.0,136.0,0.0,0.0,3.0,3.0,139.0,21.0,3.0,2.0,26.0,0.0,0.0,0.0,0.0,26.0,12.0,13.0,7.0,32.0,0.0,2.0,2.0,4.0,36.0,39.0,13.0,8.0,60.0,0.0,0.0,5.0,5.0,65.0,21.0,9.0,7.0,37.0,0.0,3.0,3.0,6.0,43.0,2.0,2.0,1.0,5.0,2.0,0.0,1.0,3.0,8.0,0.0,4.0,2.0,6.0,0.0,1.0,2.0,3.0,9.0,0.0,4.0,2.0,6.0,0.0,0.0,2.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,DOM-MOC,Moca,2502.0,246.0,44.0,2792.0,3093.0,89.0,129.0,3311.0,6103.0,2394.0,241.0,44.0,2679.0,2495.0,117.0,52.0,2664.0,5343.0,2283.0,372.0,48.0,2703.0,2609.0,146.0,51.0,2806.0,5509.0,1903.0,342.0,93.0,2338.0,2278.0,199.0,52.0,2529.0,4867.0,2077.0,367.0,104.0,2548.0,2416.0,205.0,60.0,2681.0,5229.0,1355.0,282.0,31.0,1668.0,1546.0,122.0,39.0,1707.0,3375.0,1418.0,187.0,54.0,1659.0,1475.0,98.0,52.0,1625.0,3284.0,579.0,88.0,16.0,683.0,583.0,27.0,21.0,631.0,1314.0,460.0,65.0,17.0,542.0,542.0,16.0,23.0,581.0,1123.0,283.0,69.0,77.0,429.0,446.0,15.0,43.0,504.0,933.0,584.0,64.0,22.0,670.0,788.0,14.0,25.0,827.0,1497.0,551.0,50.0,65.0,666.0,683.0,8.0,78.0,769.0,1435.0,528.0,93.0,25.0,646.0,771.0,44.0,34.0,849.0,1495.0,408.0,94.0,23.0,525.0,563.0,24.0,36.0,623.0,1148.0,417.0,57.0,30.0,504.0,654.0,19.0,37.0,710.0,,495.0,93.0,33.0,621.0,1018.0,26.0,35.0,1079.0,1700.0
53,DOM-MOI,,,,,,,,,,,5.0,3.0,1.0,9.0,9.0,0.0,1.0,10.0,19.0,27.0,4.0,3.0,34.0,13.0,1.0,2.0,16.0,50.0,50.0,5.0,2.0,57.0,71.0,9.0,6.0,86.0,143.0,60.0,4.0,1.0,65.0,75.0,5.0,5.0,85.0,150.0,36.0,3.0,1.0,40.0,54.0,4.0,2.0,60.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,DOM-MUL,,,,,,,,,,,,,,,,,,,,0.0,58.0,20.0,78.0,0.0,3.0,9.0,12.0,90.0,0.0,14.0,7.0,21.0,0.0,1.0,11.0,12.0,33.0,596.0,151.0,147.0,894.0,6.0,2.0,35.0,43.0,937.0,29.0,25.0,8.0,62.0,0.0,1.0,4.0,5.0,67.0,17.0,24.0,4.0,45.0,0.0,0.0,0.0,0.0,45.0,8.0,7.0,5.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,4.0,11.0,0.0,0.0,1.0,1.0,12.0,2.0,6.0,4.0,12.0,1.0,0.0,1.0,2.0,14.0,42.0,8.0,7.0,57.0,1.0,1.0,1.0,3.0,60.0,39.0,27.0,5.0,71.0,0.0,0.0,2.0,2.0,,16.0,24.0,9.0,49.0,1.0,0.0,3.0,4.0,53.0
55,DOM-MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,23.0,25.0,228.0,5.0,2.0,40.0,47.0,275.0,194.0,22.0,25.0,241.0,5.0,2.0,48.0,55.0,296.0,179.0,20.0,24.0,223.0,5.0,2.0,48.0,55.0,278.0,137.0,59.0,41.0,237.0,5.0,2.0,47.0,54.0,291.0,134.0,60.0,43.0,237.0,5.0,2.0,43.0,50.0,287.0,153.0,64.0,46.0,263.0,5.0,2.0,49.0,56.0,319.0,185.0,56.0,47.0,288.0,5.0,2.0,57.0,64.0,352.0,298.0,76.0,45.0,419.0,42.0,13.0,54.0,109.0,,146.0,70.0,49.0,265.0,6.0,6.0,40.0,52.0,317.0
