code,total_mf_00,total_mf_01,total_mf_02,total_mf_03,total_mf_04,total_mf_05,total_mf_06,total_mf_07,total_mf_08,total_mf_09,total_mf_10,total_mf_11,total_mf_12,total_mf_14,total_mf_15,total_mf_16
DOM-S12,44779.0,39187.0,41870.0,19616.0,43588.0,34878.0,29865.0,17677.0,16340.0,14531.0,13932.0,14250.0,16452.0,17883.0,0.0,17626.0
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,315.0,0.0,216.0
DOM-SAL,337.0,298.0,76.0,322.0,570.0,429.0,183.0,225.0,750.0,263.0,208.0,178.0,303.0,0.0,0.0,0.0
DOM-SEI,150.0,255.0,289.0,326.0,351.0,393.0,224.0,122.0,131.0,74.0,93.0,92.0,118.0,156.0,0.0,134.0
DOM-SLI,1120.0,1113.0,764.0,636.0,884.0,741.0,217.0,131.0,308.0,289.0,273.0,233.0,236.0,320.0,0.0,287.0
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,33.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
DOM-TAM,25.0,189.0,268.0,626.0,627.0,575.0,431.0,565.0,1340.0,984.0,733.0,3047.0,3734.0,5622.0,0.0,5604.0
DOM-VEG,13480.0,10324.0,10994.0,10670.0,10252.0,6859.0,6783.0,4616.0,4566.0,3617.0,5487.0,5353.0,5285.0,6833.0,0.0,5868.0
DOM-VIS,0.0,0.0,0.0,0.0,53.0,624.0,1195.0,1121.0,1149.0,1055.0,1194.0,1131.0,1134.0,1184.0,0.0,1760.0
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,320.0,258.0,280.0,0.0,251.0
DOM-ZFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24332.0,26194.0,0.0,26977.0
DOM-ZOF,205.0,505.0,449.0,435.0,412.0,398.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5676.0,0.0,6283.0,7862.0,8845.0,11465.0,14842.0,14612.0,15748.0,18237.0,19888.0,21988.0,0.0,0.0,0.0,0.0
