,code, buiilt00, ocu00, buiilt01, ocu01, buiilt02, ocu02, buiilt03, ocu03, buiilt04, ocu04, buiilt05, ocu05, buiilt06, ocu06, buiilt07, ocu07, buiilt08, ocu08, buiilt09, ocu09, buiilt10, ocu10, buiilt11, ocu11, buiilt12, ocu12, buiilt13, ocu13, buiilt14, ocu14, buiilt15, ocu15, buiilt16, ocu16
45,DOM-LAS,1200000.0,1200000.0,1193592.0,1174335.0,1136891.0,1030903.0,1136891.0,1136891.0,1390819.85,1390819.85,1406078.05,1363211.42,1433942.56,1398034.37,1509756.37,1509756.37,1556161.04,1490595.62,1625617.59,1552422.89,1625617.59,1178022.88,1625617.59,1307209.33,1628263.92,1240384.81,1657963.19,1353201.78,1699062.37,1554553.83,1638117.54,1638117.54,1638117.54,1638117.54
46,DOM-LIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40199.0,40199.0,40199.0,40199.0,40219.0,40219.0,40219.0,40219.0,40219.0,40219.0,46445.0,46445.0,46445.0,46445.0,75000.0,75000.0,75000,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
47,DOM-LUN,0.0,0.0,0.0,0.0,0.0,0.0,32292.0,32292.0,32292.0,32292.0,80000.0,32292.0,80000.0,32292.0,80000.0,32292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,DOM-MAC,2439826.0,2407036.0,2439826.0,2201865.0,2439826.0,2284135.0,2439826.0,2341862.0,2431726.0,2431726.0,2431726.0,2242404.0,2431726.0,2299373.0,2431726.0,2204466.0,2431726.0,2204466.0,2431726.0,2336329.0,2431726.0,2262372.0,2431726.0,2355714.0,3059519.26,2844507.84,2823599.09,2655473.46,2823599.09,2674042.13,2823599.09,2793741.96,3199449.9,3028019.11
49,DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,55143.92,55143.92,55143.92,55143.92
50,DOM-MEL,400209.0,400209.0,400289.32,338988.0,367830.52,311061.0,367830.0,165145.0,367830.0,334566.83,364714.66,364714.66,362817.28,309050.66,362817.28,307153.19,362817.28,307153.19,362817.28,307153.19,362817.28,158415.92,362817.28,195348.2,362817.28,195348.2,225242.81,225242.81,225242.81,225242.81,225242.81,225242.81,225242.81,225242.81
51,DOM-MIN,37867.0,22637.0,45892.0,22637.0,45892.0,22637.0,45892.0,45892.0,45892.0,15871.0,15871.0,15871.0,35458.0,35458.0,49106.0,13648.0,49106.0,13648.0,49106.0,13648.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,DOM-MOC,493156.0,493156.0,493156.0,493156.0,493156.0,493156.0,493156.0,468213.0,569848.0,569848.0,512167.0,512167.0,512167.0,512167.0,512167.0,512167.0,512167.0,512167.0,512167.0,463021.0,512167.0,479067.0,512167.0,512167.0,512167.0,437409.31,468504.33,438706.85,468504.33,427110.8,476986.97,437107.2,460645.75,444772.28
53,DOM-MOI,0.0,0.0,48563.31,32375.0,48522.0,48522.0,48522.0,48522.0,64751.0,64751.0,64751.0,64751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,DOM-MUL,0.0,0.0,0.0,0.0,107600.0,107600.0,107600.0,107600.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0
55,DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0
56,DOM-NAV,300000.0,186591.0,300000.0,186591.0,200000.0,200000.0,200000.0,200000.0,200000.0,111265.0,200000.0,111265.0,200000.0,31500.0,200000.0,30000.0,200000.0,30000.0,200000.0,47670.0,200000.0,108203.43,200000.0,108203.43,240002.63,136241.5,289806.15,145576.7,328056.65,219040.63,328056.65,219040.63,328056.65,249040.63
57,DOM-NIG,514668.0,413363.0,514668.0,470363.0,514668.0,397668.0,514668.0,363931.0,514668.0,436041.0,546436.0,393046.0,546041.0,418041.0,546041.0,413041.0,546041.0,184300.0,546041.0,193000.0,546041.0,395041.0,546041.0,212590.0,546041.0,384341.0,546041,384341.0,546041.0,225712.0,339012.0,242012.0,373557.0,262557.0
58,DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6797.0,6797.0
59,DOM-PAB,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,30472.0,121886.0,30472.0,121886.0,30472.0,121886.0,30472.0,121886,30472.0,121886.0,30472.0,62335.96,62335.96,62335.96,62335.96
60,DOM-PAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,18000.0,63400.0,23350.0,63400.0,42750.0,70000.0,46393.0,83400.0,42750.0,107245.0,107245.0,107245.0,107245.0,107245.0,101572.0,107245.0,102443.0,107245,102443.0,107245.0,102443.0,107245.0,102443.0,110760.0,110760.0
61,DOM-PAM,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,339822.0,339822.0,386996.2,354794.2,450038.0,417834.0,450038.0,281168.72,450038.0,242891.24,450038.0,367614.0,450038.0,243206.44,367614,367614.0,367614.0,367614.0,367614.0,367614.0,367614.0,367614.0
62,DOM-PED,30401.06,30401.0,30401.0,30401.0,30401.0,30401.0,30401.0,30401.0,30401.0,30401.0,30401.0,30401.0,60000.0,60000.0,60000.0,60000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,100457.0,100457.0,100457.0,100457.0,100457,100457.0,100457.0,100457.0,100457.0,100457.0,100457.0,100457.0
63,DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258240.0,258240.0,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36
64,DOM-PEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87473.0,69747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,DOM-PIS,673135.0,600006.0,735664.0,733317.0,758000.0,726000.0,841000.0,816730.0,938897.0,921000.0,940057.72,882580.82,1014211.0,945082.0,1014211.0,864078.43,1014211.0,989598.89,942262.91,891517.59,942262.91,895930.22,942262.91,931538.02,942262.91,900742.74,938550,936350.0,959296.17,957096.17,1000108.85,997908.85,1044762.02,1044762.02
66,DOM-PON,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,32202.0,32202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22955.0,22955.0,22955.0,22955.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,DOM-PUE,418591.0,381467.0,407889.0,393169.0,431740.51,418358.0,431740.0,418358.0,444629.0,339683.0,444629.0,171600.68,444629.0,171150.59,444629.0,153961.0,444629.0,150579.34,383353.57,368633.57,412793.17,390573.17,412793.17,289169.57,412793.17,192134.17,447903,310461.0,447903.0,390491.0,447903.0,412368.0,451935.0,369515.0
68,DOM-QUI,0.0,0.0,52125.31,52125.31,52125.31,52125.31,52125.0,52125.0,50929.0,50929.0,0.0,0.0,50929.0,50929.0,50929.0,50929.0,50929.0,50929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53084,50929.0,53084.0,53084.0,53084.0,53084.0,60659.18,60659.18
69,DOM-RAF,0.0,0.0,0.0,0.0,83928.0,83928.0,83928.0,83928.0,83928.0,83928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72630,72630.0,72630.0,72630.0,72630.0,72630.0,9325.0,9325.0
71,DOM-RII,377131.0,377131.0,327131.0,327131.0,473949.0,324289.0,473949.0,287804.0,473949.0,300587.0,385000.0,272804.0,385000.0,355587.0,478853.0,328813.0,478853.0,355587.0,482531.0,270091.0,482531.0,298900.33,482531.0,246680.0,482531.0,283389.0,439431,381056.0,439431.0,422771.0,439431.0,439431.0,482531.0,440893.0
72,DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35196,35196.0,35206.72,35206.72,35239.0,35239.0,0.0,0.0
73,DOM-ROM,1063858.0,1063858.0,1063858.0,933001.0,1128599.0,895409.0,1128599.0,823990.0,1128599.0,780000.0,1128599.49,496184.0,1128599.49,499924.0,1128599.49,459214.0,639252.0,446054.0,787190.0,714628.0,787190.0,463390.0,787190.0,643236.0,787190.0,643826.0,658062,593029.0,694804.0,623433.0,694804.0,638819.78,787190.0,751803.0
74,DOM-S12,3595618.0,3437048.0,3615811.0,3575811.0,3639349.0,3577607.2,3661475.0,3549868.0,3684117.32,3684117.32,3705996.68,3585213.68,3705996.68,3591748.68,3705997.0,2672118.0,3709700.64,3073242.0,3709700.64,3039789.88,3709700.64,3027622.0,3709700.64,3052291.59,3736116.0,3218791.07,4418208.71,4418208.71,4304254.48,4174200.74,4362630.59,4177185.13,5358867.29,5328267.29
75,DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66635.7,66635.7,vvv,66635.7,66635.7,66635.7,66635.7,66635.7,66635.7,66635.7
76,DOM-SAL,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48561.0,48561.0,48561.0,48561.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,DOM-SEI,48561.0,16187.0,32375.0,32375.0,48561.0,32374.0,32374.0,32374.0,48563.0,48563.0,48563.0,32375.0,48563.0,32375.0,48563.0,32375.0,48563.0,32375.0,48563.0,16188.0,48563.0,16040.0,48563.0,48563.0,48563.0,48563.0,487111.04,487111.04,48711.04,48711.04,48711.04,48711.04,48775.71,48775.71
