code,com0,com1,com2,com03,com04,com05,com06,com07,com08,com09,com10,com11,com12,com13,com14,com15,com16,com17,com18,com19
DOM-MAC,0.0,0.0,0.0,12960394.39,20734780.03,17971475.14,16694728.7,16454189.5,17182123.84,17544897.54,15180371.45,17741368.17,17642783.18,17372439.8,19988840.02,17902622.64,24336.08,28222730.29,0.0,23488181.68
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.56,166846.66,0.0,275194.1
DOM-MEL,0.0,0.0,0.0,1051400.0,2418371.44,2005573.75,1549991.66,381924.69,588963.92,452702.7,360286.31,553338.39,785581.14,644936.12,485255.18,1322304.76,739.4,389166.06,0.0,555363.72
DOM-MIN,0.0,0.0,0.0,0.0,84472.53,185038.93,145566.43,90900.0,114537.48,139610.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-MOC,0.0,0.0,0.0,2577300.69,5421317.15,2877672.98,2853336.62,1666301.56,1306154.42,1028481.88,1780206.8,2506450.27,1362112.84,1773034.13,1182812.63,1565896.24,3464.04,2453103.67,0.0,2973944.81
DOM-MOI,0.0,0.0,0.0,131207.0,96000.0,91853.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-MUL,0.0,0.0,0.0,4239266.0,3144743.46,1780837.06,0.0,0.0,0.0,0.0,20048.0,10000.0,37067.0,429883.3,251885.28,203613.08,189.24,770855.11,0.0,585339.32
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4765447.0,4302255.0,3499550.0,2828048.0,3917520.0,2743464.87,4351156.98,3869141.4,4197197.96,3570.06,3874894.37,0.0,3883082.23
DOM-NAV,0.0,0.0,0.0,0.0,1044087.52,514232.94,380517.52,391405.44,332611.03,241825.23,432678.25,533040.0,378499.86,449669.88,722361.93,727174.3,1282.08,942324,0.0,1976040.76
DOM-NIG,0.0,0.0,0.0,3185107.93,20879863.65,3377764.79,2678912.77,3114229.16,2302178.81,2538799.83,2133301.91,2959946.25,2596191.06,3015000.0,6785075.28,6395274.07,6585.69,5428653.06,0.0,8580088.73
DOM-NII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1626742.5
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,96140,0.0,246153.17
DOM-PAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,2000,0.0,0.0
DOM-PAL,0.0,0.0,0.0,0.0,22000.0,242400.0,503000.0,485693.58,494268.01,290615.9,351512.34,714328.25,794119.43,1072452.0,527681.8,1351002.92,1173.71,1.783228.22,0.0,2344027.48
DOM-PAM,0.0,0.0,0.0,470470.0,1088923.16,1021998.37,1379221.69,1501098.49,1188037.26,606566.39,791823.21,950128.87,1756413.41,1537505.54,1619761.62,3897028.54,2859.54,3026836.37,0.0,3630547.29
DOM-PED,0.0,0.0,0.0,95961.73,83351.0,95546.0,230081.25,261733.27,261733.77,241654.36,225580.13,211238.74,215354.0,285128.35,416231.83,318687.67,347.41,720000,0.0,201683.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3549852.91,4009453.13,3453268.71,3450632.82,3657245.43,4705.01,5994857.68,0.0,10668985.13
DOM-PEV,0.0,0.0,0.0,0.0,479159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-PIS,0.0,0.0,0.0,5362284.53,8742694.21,9259106.6,10602596.8,12123035.85,8157058.74,7241746.78,2580158.85,8331268.42,8497175.56,11003949.63,12044104.24,12919803.72,12265.86,12536143.53,0.0,15433640.77
DOM-PON,0.0,0.0,0.0,23765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-PUE,0.0,0.0,0.0,2546894.34,3495653.66,2751093.2,2193230.15,1756401.01,1183492.16,2900046.61,7905337.29,770961.32,1926275.46,1004942.44,901997.26,2037517.29,2170.7,1953110.53,0.0,3057619.08
DOM-QUI,0.0,0.0,0.0,436130.57,1827111.81,0.0,574974.05,607350.4,887393.43,0.0,3023953.42,0.0,0.0,0.0,73797.16,0.0,421.27,429823.91,0.0,619876.6
