code,tss00,tss01,tss02,tss03,tss04,tss05,tss06,tss07,tss08,tss09,tss10,tss11,tss12,tss13,tss14,tss15,tss16,tss17,tss18,tss19
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.14,2018342.07,0.0,0.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101580.6,0.0,569437.24
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40132.19,624.92,1475055.97,0.0,5499172.92
DOM-TAM,15230.0,315000.0,391718.5,359637.5,695833.11,1477759.33,980921.13,1767131.69,32580057.42,7381582.97,5986772.08,40468244.36,75275387.33,88128892.89,117687230.4,137435425.2,160109.11,176166828.2,0.0,84980283.52
DOM-VEG,18751875.0,87093851.53,24636162.19,33048282.13,16118619.59,13783180.84,16521788.65,23892615.3,42926959.0,15508283.6,46127044.08,58945323.97,58689408.68,86171875.77,102344837.0,107008260.7,109065.73,101542406.0,0.0,127817788.9
DOM-VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653583.28
DOM-VIS,0.0,0.0,0.0,0.0,56400.0,207217.3,171681.98,24860776.08,33782555.03,30144336.33,40627668.25,50224417.22,44747426.19,53594927.27,57600351.29,60854461.67,65013.44,8357755.89,0.0,105337304.5
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9265803.94,10633548.99,10276500.28,10654576.9,11242981.56,12581423.11,11917.76,11602715.33,0.0,13921240.15
DOM-ZFE,0.0,0.0,0.0,0.0,16204661.54,13313858.97,25556092.06,126626165.6,315099138.2,465692056.4,419378311.1,545453048.5,601651183.9,0.0,933024269.2,1936937930.0,1204396.35,0.0,0.0,1516216.08
DOM-ZOF,33729.37,540000.0,540000.0,914262.81,1683150.0,1371528.13,1068000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5573248.9,0.0,0.0,0.0
