code,park,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19
DOM-NII,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,15000000.0
DOM-NOR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,451139.59,732947.5,0.0,5545357.95
DOM-PAB,Palmar Abajo,6899833.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,75000.0,100000.0,N/D,0.0,ND,0.0,0.0,ND,N/D,0.0,0.0,0.0,0.0
DOM-PAL,0,0.0,0.0,0.0,0.0,1000000.0,1214000.0,4164166.0,4556000.0,5836575.0,2483896.54,3424002.0,5359568,5833873.04,4224751.57,5393078.7,6212990.1,5417113.82,5267075.4,0.0,15134277.04
DOM-PAM,Palmarejo,23426111.0,21816691.0,25313062.0,5976065.0,30828690.65,90639471.75,45223430.67,57949101.84,66846200.86,75855965.24,80389236.4,79196505.2,39204030.99,34233001.47,38544393.1,48741389.4,49619554.78,48623409.3,0.0,86022347.81
DOM-PED,Pedernales,182000.0,182000.0,150000.0,266000.0,300000.0,300000.0,550000.0,600000.0,2050000.0,2050000,28000000.0,17000000,17000000.0,11500000.0,9000000,11829180.1,12000000.0,13750000.0,0.0,12000000.0
DOM-PER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39308186.17,43123873,54986741.08,70975499.21,71677360.9,70122135.8,73831661.01,105462288.5,0.0,114371241.5
DOM-PEV,0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-PIS,PISANO,24824949.0,29449717.0,31358261.0,34727911.99,51031152.32,51906663.2,291202879.9,292936282.9,46345306.82,34759834.05,39089445.76,38503009.9,44936043.66,55441461.3,61922862.3,84258181.2,103649145.3,104077258.9,0.0,105278147.3
DOM-PON,Pontezuela,2463125.0,1760987.0,1567020.0,1078360.0,1165689.57,1219390.29,847381.58,0.0,0.0,0,0.0,3000000,2352350.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-PUE,Puerto Plata,7084891.3,7702847.0,7908010.0,6737670.0,7243739.7,5577664.02,3957960.35,3939774.0,3893221.55,4699014.8,2893421.81,4141555.4,6387900.94,8095878.26,8553756.2,12873522.6,13735084.78,12773110.8,0.0,9376993.83
DOM-QUI,0,0.0,172030.0,800000.0,800000.0,200000.0,0.0,350000.0,500000.0,3350000.0,0,0.0,0,0.0,2119000.0,200000,225000,213750.0,2387506.6,0.0,2461179.34
DOM-RAF,0,0.0,0.0,2000000.0,95000.0,90000.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-RIE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5676067.0,5600000,13000000,12147579.0,13785219.0,0.0,17500000.0
DOM-RII,La Romana II,8380289.0,8748879.0,9024669.41,6396839.41,6113989.41,3964157.0,4690000.0,5483987.29,5014887.93,3984599.93,25974000.0,25939379.3,22007694.58,130033620.4,153641645.4,199692125.6,26320202.75,28177298.9,0.0,57458416.87
DOM-RIO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,956631.6,0.0,29076505.0
DOM-ROB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,16653346.41,5345716.1,5276188,0.0,0.0,0.0,0.0
DOM-ROM,La Romana I,45767112.0,45700466.0,30360202.0,2504.81,64475784.34,86871487.46,88924034.34,107540272.8,142417240.5,149027694.1,117961569.5,96090446.4,109348909.2,23976243.91,22350938.8,27487893.6,190093144.4,194745598.4,0.0,230324790.3
DOM-S12,Santiago I y II,225923451.6,204519706.0,224106287.1,249613960.8,299285306.2,364876269.1,388270658.3,236055928.7,310274473.9,300025234.2,278022900.5,282651061.6,300309573.2,309542374.3,327431525,394255108.6,481804920.0,477759947.3,0.0,552219929.2
DOM-SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3200000.0,4000000.0,3875000,3675420.2,4726408.12,4625335.0,0.0,4321596.0
DOM-SAL,Salcedo,600000.0,424000.0,108000.0,680000.0,1000000.0,1100000.0,800000.0,426870.0,1137281.22,1200000,350000.0,1000000,1000000.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-SEI,0,0.0,1100000.0,1000000.0,1000000.0,1200000.0,1280000.0,380000.0,270000.0,485000.0,100000,180000.0,165428,350000.0,400000.0,500000,500000,750000.0,493125.0,0.0,250000.0
DOM-SLI,Santiago - Licey,5324144.0,5841036.0,5266436.0,5096523.67,5896089.89,6888061.78,5602682.06,6624658.03,8454945.33,8538773.87,7826394.28,6885414.8,4546693.8,9760616.35,6167959.6,7697014.1,8488603.96,9153904.0,0.0,11919603.94
DOM-SUN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3000000.0,1500000.0,0.0,0.0
DOM-SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,34883.7,61550.4,58550.38,65550.0,0.0,250000.0
DOM-TAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,146216,1050670.4,885653.4,0.0,1888567.75
DOM-TAM,Tamboril,220900.0,1105421.0,1712597.0,2820734.09,2960950.0,2493256.3,5051256.3,11281686.0,19152530.4,25009980.96,25743439.15,31327567.4,34757363.57,119387204.2,119205726.2,135653985.1,135588673.2,183333158.0,0.0,157767270.6
DOM-VEG,La Vega,45018217.52,35333650.95,33358579.75,28916103.0,25048742.11,36825806.62,67878688.21,58628083.13,29048057.92,31272807.25,41049789.56,40072679.2,41397804.18,43884802.95,44213754.4,49863556.7,48503969.15,51092612.8,0.0,63144684.31
DOM-VER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1085427.0
DOM-VIS,0,0.0,0.0,0.0,0.0,268000.0,61659000.0,58000000.0,113481652.0,131602799.7,131602799.7,140000000.0,151000000,152692579.4,151900000.0,283200500,283200500,283200500.0,284250652.0,0.0,159779498.0
DOM-YAQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7861425.67,7876503.3,7478342.0,10877463.4,14000000,14800000,15053412.0,13598200.0,0.0,13785200.0
DOM-ZOF,Zofinma (Mao),413004.0,593364.0,593364.0,593364.0,610000.0,610000.0,549000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
