code,year,inv
DOM-ROM,9,149027696
DOM-ROM,10,117961568
DOM-ROM,11,96090448
DOM-ROM,12,109348912
DOM-ROM,14,22350938
DOM-ROM,15,27487894
DOM-ROM,16,190093152
DOM-S12,0,225923456
DOM-S12,1,204519712
DOM-S12,2,224106288
DOM-S12,3,249613968
DOM-S12,4,299285312
DOM-S12,5,364876256
DOM-S12,6,388270656
DOM-S12,7,236055936
DOM-S12,8,310274464
DOM-S12,9,300025248
DOM-S12,10,278022912
DOM-S12,11,282651072
DOM-S12,12,300309568
DOM-S12,14,327431520
DOM-S12,15,394255104
DOM-S12,16,481804928
DOM-SEI,0,0
DOM-SEI,1,0
DOM-SEI,2,0
DOM-SEI,3,1000000
DOM-SEI,4,1200000
DOM-SEI,5,1280000
DOM-SEI,6,380000
DOM-SEI,7,270000
DOM-SEI,8,485000
DOM-SEI,9,100000
DOM-SEI,10,180000
DOM-SEI,11,165428
DOM-SEI,12,350000
DOM-SEI,14,500000
DOM-SEI,15,500000
DOM-SEI,16,750000
DOM-SLI,0,5324144
DOM-SLI,1,5841036
DOM-SLI,2,5266436
DOM-SLI,3,5096523.5
DOM-SLI,4,5896090
DOM-SLI,5,6888062
DOM-SLI,6,5602682
DOM-SLI,7,6624658
DOM-SLI,8,8454945
DOM-SLI,9,8538774
DOM-SLI,10,7826394.5
DOM-SLI,11,6885415
DOM-SLI,12,4546694
DOM-SLI,14,6167959.5
DOM-SLI,15,7697014
DOM-SLI,16,8488604
DOM-TAL,0,0
DOM-TAL,1,0
DOM-TAL,2,0
DOM-TAL,3,0
DOM-TAL,4,0
DOM-TAL,5,0
DOM-TAL,6,0
DOM-TAL,7,0
DOM-TAL,8,0
DOM-TAL,9,0
DOM-TAL,10,0
DOM-TAL,11,0
DOM-TAL,12,0
DOM-TAL,14,0
DOM-TAL,15,146216
DOM-TAL,16,1050670.4
DOM-TAM,0,0
DOM-TAM,1,0
DOM-TAM,2,0
DOM-TAM,3,2820734
DOM-TAM,4,2960950
DOM-TAM,5,2493256.3
DOM-TAM,6,5051256.5
DOM-TAM,7,11281686
DOM-TAM,8,19152530
DOM-TAM,9,25009980
DOM-TAM,10,25743440
DOM-TAM,11,31327568
DOM-TAM,12,34757364
DOM-TAM,14,119205728
DOM-TAM,15,135653984
DOM-TAM,16,135588672
DOM-VEG,0,0
DOM-VEG,1,0
DOM-VEG,2,0
DOM-VEG,3,28916104
DOM-VEG,4,25048742
DOM-VEG,5,36825808
DOM-VEG,6,67878688
DOM-VEG,7,58628084
DOM-VEG,8,29048058
DOM-VEG,9,31272808
DOM-VEG,10,41049788
DOM-VEG,11,40072680
DOM-VEG,12,41397804
DOM-VEG,14,44213756
DOM-VEG,15,49863556
DOM-VEG,16,48503968
DOM-VER,0,0
DOM-VER,1,0
DOM-VER,2,0
DOM-VER,3,0
DOM-VER,4,0
DOM-VER,5,0
DOM-VER,6,0
DOM-VER,7,0
DOM-VER,8,0
DOM-VER,9,0
DOM-VER,10,0
DOM-VER,11,0
DOM-VER,12,0
DOM-VER,14,0
DOM-VER,15,0
DOM-VER,16,0
DOM-VIS,0,0
DOM-VIS,1,0
DOM-VIS,2,0
DOM-VIS,3,0
DOM-VIS,4,268000
DOM-VIS,5,61659000
DOM-VIS,6,58000000
DOM-VIS,7,113481648
DOM-VIS,8,131602800
DOM-VIS,9,131602800
DOM-VIS,10,140000000
DOM-VIS,11,151000000
DOM-VIS,12,152692576
DOM-VIS,14,283200512
DOM-VIS,15,283200512
DOM-VIS,16,283200512
DOM-ZFE,0,89407344
DOM-ZFE,1,115555168
DOM-ZFE,2,103819232
DOM-ZFE,3,122129320
DOM-ZFE,4,153468288
DOM-ZFE,5,246648416
DOM-ZFE,6,338633888
DOM-ZFE,7,356838720
DOM-ZFE,8,476832896
DOM-ZFE,9,614755072
DOM-ZFE,10,612665216
DOM-ZFE,11,645592064
DOM-ZFE,12,734664960
DOM-ZFE,14,706226432
DOM-ZFE,15,796046464
DOM-ZFE,16,815912576
